Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
06/27/2024 14:20:00,-22.67,4.07,4.92,12,6.83,5.67,1.38,0.12,37.7,38.056,23,3386,,BrewIQ,Mixed-Culture 25
06/27/2024 14:24:00,-22.6,3.89,5.12,12.9,-0.16,-0.16,1.04,0.13,38.4,38.756,23,2764,,BrewIQ,Mixed-Culture 25
06/27/2024 14:38:00,-22.37,2.56,5.15,12.9,-0.16,-0.16,0.96,0.13,37.8,38.156,23,2639,,BrewIQ,Mixed-Culture 25
06/27/2024 14:40:00,-22.33,2.32,5.11,12.9,-0.16,-0.16,1.03,0.09,38.4,38.756,24,2664,,BrewIQ,Mixed-Culture 25
06/27/2024 15:00:00,-22,1.57,5.17,12.9,-0.16,-0.16,0.89,0.09,37,37.356,24,2526,,BrewIQ,Mixed-Culture 25
06/27/2024 15:20:00,-21.67,1.26,5.18,12.9,-0.16,-0.16,0.87,0.08,36.2,36.556,24,2568,,BrewIQ,Mixed-Culture 25
06/27/2024 15:40:00,-21.33,1.19,5.2,12.9,-0.16,-0.16,0.83,0.07,35.4,35.756,25,2524,,BrewIQ,Mixed-Culture 25
06/27/2024 16:00:00,-21,1.12,5.2,12.9,-0.16,-0.16,0.82,0.07,34.8,35.156,25,2508,,BrewIQ,Mixed-Culture 25
06/27/2024 16:20:00,-20.67,0.74,5.22,12.9,-0.16,-0.16,0.79,0.07,34.2,34.556,25,2491,,BrewIQ,Mixed-Culture 25
06/27/2024 16:40:00,-20.33,0.62,5.25,12.9,-0.16,-0.16,0.75,0.07,33.4,33.756,25,2438,,BrewIQ,Mixed-Culture 25
06/27/2024 17:00:00,-20,0.6,5.28,12.9,-0.16,-0.16,0.74,0.07,32.9,33.256,25,2427,,BrewIQ,Mixed-Culture 25
06/27/2024 17:20:00,-19.67,0.53,5.27,12.9,-0.16,-0.16,0.71,0.07,32.3,32.656,25,2417,,BrewIQ,Mixed-Culture 25
06/27/2024 17:40:00,-19.33,0.52,5.29,12.9,-0.16,-0.16,0.68,0.07,31.7,32.056,25,2408,,BrewIQ,Mixed-Culture 25
06/27/2024 18:00:00,-19,0.5,5.3,12.9,-0.16,-0.16,0.65,0.07,31.1,31.456,25,2418,,BrewIQ,Mixed-Culture 25
06/27/2024 18:20:00,-18.67,0.5,5.31,12.9,-0.16,-0.16,0.63,0.07,30.6,30.956,24,2384,,BrewIQ,Mixed-Culture 25
06/27/2024 18:40:00,-18.33,0.48,5.32,12.9,-0.16,-0.16,0.61,0.07,29.9,30.256,24,2388,,BrewIQ,Mixed-Culture 25
06/27/2024 19:00:00,-18,0.48,5.33,12.9,-0.16,-0.16,0.6,0.07,29.5,29.856,24,2363,,BrewIQ,Mixed-Culture 25
06/27/2024 19:20:00,-17.67,0.47,5.32,12.9,-0.16,-0.16,0.57,0.07,29,29.356,24,2360,,BrewIQ,Mixed-Culture 25
06/27/2024 19:40:00,-17.33,0.46,5.34,12.9,-0.16,-0.16,0.56,0.07,28.4,28.756,24,2347,,BrewIQ,Mixed-Culture 25
06/27/2024 20:00:00,-17,0.47,5.34,12.9,-0.16,-0.16,0.53,0.07,27.8,28.156,24,2334,,BrewIQ,Mixed-Culture 25
06/27/2024 20:20:00,-16.67,0.47,5.37,12.8,0.62,0.47,0.5,0.07,27.2,27.556,25,2307,,BrewIQ,Mixed-Culture 25
06/27/2024 20:40:00,-16.33,0.47,5.37,12.8,0.62,0.47,0.49,0.07,26.7,27.056,25,2301,,BrewIQ,Mixed-Culture 25
06/27/2024 21:00:00,-16,0.47,5.39,12.8,0.62,0.47,0.46,0.06,26.2,26.556,25,2297,,BrewIQ,Mixed-Culture 25
06/27/2024 21:20:00,-15.67,0.47,5.4,12.8,0.62,0.47,0.45,0.07,25.6,25.956,24,2287,,BrewIQ,Mixed-Culture 25
06/27/2024 21:40:00,-15.33,0.47,5.38,12.8,0.62,0.47,0.42,0.06,25.1,25.456,24,2283,,BrewIQ,Mixed-Culture 25
06/27/2024 22:00:00,-15,0.49,5.38,12.8,0.62,0.47,0.39,0.06,24.6,24.956,24,2276,,BrewIQ,Mixed-Culture 25
06/27/2024 22:20:00,-14.67,0.47,5.39,12.8,0.62,0.47,0.38,0.07,24.1,24.456,24,2268,,BrewIQ,Mixed-Culture 25
06/27/2024 22:40:00,-14.33,0.47,5.39,12.8,0.62,0.47,0.36,0.07,23.6,23.956,24,2262,,BrewIQ,Mixed-Culture 25
06/27/2024 23:00:00,-14,0.47,5.39,12.8,0.62,0.47,0.35,0.07,23.1,23.456,24,2258,,BrewIQ,Mixed-Culture 25
06/27/2024 23:20:00,-13.67,0.51,5.39,12.8,0.62,0.47,0.33,0.06,22.8,23.156,24,2262,,BrewIQ,Mixed-Culture 25
06/27/2024 23:40:00,-13.33,0.49,5.42,12.8,0.62,0.47,0.33,0.07,22.8,23.156,24,2255,,BrewIQ,Mixed-Culture 25
06/28/2024 00:00:00,-13,0.48,5.41,12.8,0.62,0.47,0.33,0.07,22.8,23.156,24,2263,,BrewIQ,Mixed-Culture 25
06/28/2024 00:20:00,-12.67,0.48,5.43,12.8,0.62,0.47,0.33,0.07,22.8,23.156,24,2265,,BrewIQ,Mixed-Culture 25
06/28/2024 00:40:00,-12.33,0.45,5.41,12.8,0.62,0.47,0.32,0.07,22.8,23.156,24,2259,,BrewIQ,Mixed-Culture 25
06/28/2024 01:00:00,-12,0.45,5.43,12.8,0.62,0.47,0.33,0.06,22.8,23.156,24,2247,,BrewIQ,Mixed-Culture 25
06/28/2024 01:20:00,-11.67,0.45,5.42,12.8,0.62,0.47,0.32,0.07,22.8,23.156,24,2241,,BrewIQ,Mixed-Culture 25
06/28/2024 01:40:00,-11.33,0.43,5.43,12.8,0.62,0.47,0.33,0.06,22.8,23.156,24,2241,,BrewIQ,Mixed-Culture 25
06/28/2024 02:00:00,-11,0.42,5.44,12.8,0.62,0.47,0.33,0.06,22.8,23.156,24,2239,,BrewIQ,Mixed-Culture 25
06/28/2024 02:20:00,-10.67,0.42,5.4,12.8,0.62,0.47,0.33,0.07,22.8,23.156,24,2238,,BrewIQ,Mixed-Culture 25
06/28/2024 02:40:00,-10.33,0.42,5.44,12.8,0.62,0.47,0.33,0.06,22.8,23.156,24,2234,,BrewIQ,Mixed-Culture 25
06/28/2024 03:00:00,-10,0.44,5.41,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2233,,BrewIQ,Mixed-Culture 25
06/28/2024 03:20:00,-9.67,0.43,5.42,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2229,,BrewIQ,Mixed-Culture 25
06/28/2024 03:40:00,-9.33,0.43,5.42,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2223,,BrewIQ,Mixed-Culture 25
06/28/2024 04:00:00,-9,0.42,5.43,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2221,,BrewIQ,Mixed-Culture 25
06/28/2024 04:20:00,-8.67,0.41,5.42,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2216,,BrewIQ,Mixed-Culture 25
06/28/2024 04:40:00,-8.33,0.41,5.43,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2218,,BrewIQ,Mixed-Culture 25
06/28/2024 05:00:00,-8,0.41,5.41,12.8,0.62,0.47,0.33,0.06,22.8,23.156,23,2212,,BrewIQ,Mixed-Culture 25
06/28/2024 05:20:00,-7.67,0.41,5.43,12.8,0.62,0.47,0.33,0.06,22.8,23.156,23,2207,,BrewIQ,Mixed-Culture 25
06/28/2024 05:40:00,-7.33,0.39,5.44,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2205,,BrewIQ,Mixed-Culture 25
06/28/2024 06:00:00,-7,0.39,5.43,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2206,,BrewIQ,Mixed-Culture 25
06/28/2024 06:20:00,-6.67,0.39,5.44,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2202,,BrewIQ,Mixed-Culture 25
06/28/2024 06:40:00,-6.33,0.38,5.45,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2199,,BrewIQ,Mixed-Culture 25
06/28/2024 07:00:00,-6,0.38,5.41,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2191,,BrewIQ,Mixed-Culture 25
06/28/2024 07:20:00,-5.67,0.38,5.45,12.8,0.62,0.47,0.33,0.07,22.8,23.156,23,2189,,BrewIQ,Mixed-Culture 25
06/28/2024 07:40:00,-5.33,0.38,5.44,12.8,0.62,0.47,0.32,0.06,22.7,23.056,23,2183,,BrewIQ,Mixed-Culture 25
06/28/2024 08:00:00,-5,0.37,5.43,12.8,0.62,0.47,0.32,0.06,22.7,23.056,22,2179,,BrewIQ,Mixed-Culture 25
06/28/2024 08:20:00,-4.67,0.37,5.42,12.8,0.62,0.47,0.31,0.07,22.6,22.956,22,2178,,BrewIQ,Mixed-Culture 25
06/28/2024 08:40:00,-4.33,0.35,5.44,12.8,0.62,0.47,0.31,0.06,22.5,22.856,22,2171,,BrewIQ,Mixed-Culture 25
06/28/2024 09:00:00,-4,0.35,5.42,12.8,0.62,0.47,0.31,0.07,22.5,22.856,21,2173,,BrewIQ,Mixed-Culture 25
06/28/2024 09:20:00,-3.67,0.34,5.41,12.9,-0.16,-0.16,0.31,0.07,22.5,22.856,21,2172,,BrewIQ,Mixed-Culture 25
06/28/2024 09:40:00,-3.33,0.33,5.41,12.8,0.62,0.47,0.31,0.06,22.5,22.856,21,2172,,BrewIQ,Mixed-Culture 25
06/28/2024 10:00:00,-3,0.32,5.44,12.8,0.62,0.47,0.31,0.06,22.5,22.856,21,2170,,BrewIQ,Mixed-Culture 25
06/28/2024 10:20:00,-2.67,0.31,5.43,12.8,0.62,0.47,0.31,0.07,22.4,22.756,21,2170,,BrewIQ,Mixed-Culture 25
06/28/2024 10:40:00,-2.33,0.3,5.44,12.8,0.62,0.47,0.31,0.07,22.4,22.756,21,2168,,BrewIQ,Mixed-Culture 25
06/28/2024 11:00:00,-2,0.29,5.42,12.8,0.62,0.47,0.31,0.06,22.4,22.756,21,2169,,BrewIQ,Mixed-Culture 25
06/28/2024 11:20:00,-1.67,0.27,5.42,12.8,0.62,0.47,0.31,0.07,22.4,22.756,21,2165,,BrewIQ,Mixed-Culture 25
06/28/2024 11:40:00,-1.33,0.28,5.45,12.8,0.62,0.47,0.31,0.07,22.3,22.656,21,2166,,BrewIQ,Mixed-Culture 25
06/28/2024 12:00:00,-1,0.28,5.42,12.8,0.62,0.47,0.31,0.06,22.3,22.656,21,2163,,BrewIQ,Mixed-Culture 25
06/28/2024 12:20:00,-0.67,0.28,5.44,12.8,0.62,0.47,0.31,0.07,22.3,22.656,21,2164,,BrewIQ,Mixed-Culture 25
06/28/2024 12:40:00,-0.33,0.27,5.44,12.8,0.62,0.47,0.31,0.07,22.3,22.656,21,2162,,BrewIQ,Mixed-Culture 25
06/28/2024 13:00:00,0,0.27,5.45,12.8,0.62,0.47,0.31,0.07,22.2,22.556,21,2160,,BrewIQ,Mixed-Culture 25
06/28/2024 13:20:00,0.33,0.26,5.44,12.8,0.62,0.47,0.29,0.07,22.2,22.556,21,2163,,BrewIQ,Mixed-Culture 25
06/28/2024 13:40:00,0.67,0.26,5.42,12.9,-0.16,-0.16,0.31,0.07,22.2,22.556,21,2163,,BrewIQ,Mixed-Culture 25
06/28/2024 14:00:00,1,0.25,5.41,12.9,-0.16,-0.16,0.31,0.06,22.2,22.556,21,2161,,BrewIQ,Mixed-Culture 25
06/28/2024 14:20:00,1.33,0.24,5.4,12.8,0.62,0.47,0.29,0.06,22.2,22.556,21,2125,,BrewIQ,Mixed-Culture 25
06/28/2024 14:40:00,1.67,0.25,5.4,12.8,0.62,0.47,0.29,0.07,22.1,22.456,21,2158,,BrewIQ,Mixed-Culture 25
06/28/2024 15:00:00,2,0.24,5.39,12.8,0.62,0.47,0.29,0.06,22.1,22.456,21,2159,,BrewIQ,Mixed-Culture 25
06/28/2024 15:20:00,2.33,0.24,5.37,12.8,0.62,0.47,0.31,0.07,22.1,22.456,21,2163,,BrewIQ,Mixed-Culture 25
06/28/2024 15:40:00,2.67,0.24,5.36,12.8,0.62,0.47,0.31,0.07,22.1,22.456,22,2168,,BrewIQ,Mixed-Culture 25
06/28/2024 16:00:00,3,0.23,5.33,12.8,0.62,0.47,0.31,0.06,22.1,22.456,22,2167,,BrewIQ,Mixed-Culture 25
06/28/2024 16:20:00,3.33,0.21,5.34,12.8,0.62,0.47,0.31,0.07,22.1,22.456,22,2169,,BrewIQ,Mixed-Culture 25
06/28/2024 16:40:00,3.67,0.23,5.32,12.8,0.62,0.47,0.31,0.07,22,22.356,22,2170,,BrewIQ,Mixed-Culture 25
06/28/2024 17:00:00,4,0.23,5.28,12.8,0.62,0.47,0.31,0.07,22,22.356,22,2171,,BrewIQ,Mixed-Culture 25
06/28/2024 17:20:00,4.33,0.23,5.27,12.8,0.62,0.47,0.31,0.07,22,22.356,22,2174,,BrewIQ,Mixed-Culture 25
06/28/2024 17:40:00,4.67,0.23,5.25,12.8,0.62,0.47,0.31,0.07,22,22.356,22,2179,,BrewIQ,Mixed-Culture 25
06/28/2024 18:00:00,5,0.22,5.26,12.8,0.62,0.47,0.31,0.07,22,22.356,22,2182,,BrewIQ,Mixed-Culture 25
06/28/2024 18:20:00,5.33,0.22,5.22,12.8,0.62,0.47,0.31,0.06,22,22.356,22,2187,,BrewIQ,Mixed-Culture 25
