Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
05/02/2024 15:36,-23.4,9.06,4.87,12.8,0.07,41.3,41.656,19,3052,,BrewIQ,SHU IPA
05/02/2024 15:56,-23.07,2.28,5.24,13,0.07,41.2,41.556,20,2540,,BrewIQ,SHU IPA
05/02/2024 16:13,-22.78,1.73,5.29,13,0.07,40.1,40.456,20,2532,,BrewIQ,SHU IPA
05/02/2024 16:16,-22.73,1.65,5.31,13,0.06,40.2,40.556,21,2522,,BrewIQ,SHU IPA
05/02/2024 16:36,-22.4,1.6,5.33,13,0.07,38.3,38.656,21,2402,,BrewIQ,SHU IPA
05/02/2024 16:56,-22.07,1.81,5.35,13,0.07,37.5,37.856,21,2445,,BrewIQ,SHU IPA
05/02/2024 17:16,-21.73,1.8,5.39,13,0.07,36.6,36.956,22,2442,,BrewIQ,SHU IPA
05/02/2024 17:36,-21.4,1.74,5.38,13,0.07,35.8,36.156,22,2434,,BrewIQ,SHU IPA
05/02/2024 17:56,-21.07,1.84,5.39,13,0.07,35,35.356,22,2429,,BrewIQ,SHU IPA
05/02/2024 18:16,-20.73,1.75,5.43,13,0.07,34.2,34.556,22,2458,,BrewIQ,SHU IPA
05/02/2024 18:36,-20.4,1.84,5.43,13,0.07,33.4,33.756,22,2384,,BrewIQ,SHU IPA
05/02/2024 18:56,-20.07,1.86,5.44,13,0.07,32.6,32.956,22,2382,,BrewIQ,SHU IPA
05/02/2024 19:16,-19.73,1.85,5.45,13,0.07,31.9,32.256,22,2379,,BrewIQ,SHU IPA
05/02/2024 19:36,-19.4,1.92,5.44,13,0.07,31.2,31.556,22,2346,,BrewIQ,SHU IPA
05/02/2024 19:56,-19.07,1.96,5.43,13,0.06,30.4,30.756,21,2371,,BrewIQ,SHU IPA
05/02/2024 20:16,-18.73,2,5.47,13.1,0.07,29.7,30.056,21,2368,,BrewIQ,SHU IPA
05/02/2024 20:36,-18.4,2.13,5.45,13.1,0.06,29.1,29.456,21,2368,,BrewIQ,SHU IPA
05/02/2024 20:56,-18.07,2.05,5.49,13.1,0.07,28.4,28.756,21,2367,,BrewIQ,SHU IPA
05/02/2024 21:16,-17.73,2.14,5.48,13.1,0.07,27.8,28.156,21,2337,,BrewIQ,SHU IPA
05/02/2024 21:36,-17.4,2.2,5.5,13.1,0.07,27.2,27.556,21,2362,,BrewIQ,SHU IPA
05/02/2024 21:56,-17.07,2.31,5.48,13.1,0.06,26.5,26.856,21,2358,,BrewIQ,SHU IPA
05/02/2024 22:16,-16.73,2.26,5.48,13,0.07,25.9,26.256,21,2354,,BrewIQ,SHU IPA
05/02/2024 22:36,-16.4,2.36,5.52,13.1,0.07,25.3,25.656,21,2357,,BrewIQ,SHU IPA
05/02/2024 22:56,-16.07,2.3,5.49,13.1,0.06,24.7,25.056,21,2350,,BrewIQ,SHU IPA
05/02/2024 23:16,-15.73,2.28,5.53,13.1,0.07,24.2,24.556,21,2348,,BrewIQ,SHU IPA
05/02/2024 23:36,-15.4,2.28,5.51,13.1,0.07,23.6,23.956,21,2350,,BrewIQ,SHU IPA
05/02/2024 23:56,-15.07,2.41,5.51,13.1,0.07,23.1,23.456,21,2347,,BrewIQ,SHU IPA
05/03/2024 00:16,-14.73,2.28,5.54,13.1,0.07,22.6,22.956,21,2341,,BrewIQ,SHU IPA
05/03/2024 00:36,-14.4,2.28,5.52,13.1,0.07,22.1,22.456,21,2345,,BrewIQ,SHU IPA
05/03/2024 00:56,-14.07,2.39,5.52,13,0.07,21.5,21.856,21,2343,,BrewIQ,SHU IPA
05/03/2024 01:16,-13.73,2.35,5.52,13.1,0.07,21,21.356,21,2340,,BrewIQ,SHU IPA
05/03/2024 01:36,-13.4,2.39,5.52,13.1,0.07,20.6,20.956,21,2339,,BrewIQ,SHU IPA
05/03/2024 01:56,-13.07,2.46,5.57,13,0.07,20.1,20.456,20,2336,,BrewIQ,SHU IPA
05/03/2024 02:16,-12.73,2.36,5.54,13.1,0.07,19.6,19.956,20,2333,,BrewIQ,SHU IPA
05/03/2024 02:36,-12.4,2.26,5.54,13.1,0.07,19.2,19.556,20,2332,,BrewIQ,SHU IPA
05/03/2024 02:56,-12.07,2.17,5.56,13.1,0.07,18.7,19.056,20,2331,,BrewIQ,SHU IPA
05/03/2024 03:16,-11.73,1.95,5.56,13.1,0.07,18.3,18.656,20,2333,,BrewIQ,SHU IPA
05/03/2024 03:36,-11.4,1.86,5.56,13.1,0.07,17.8,18.156,20,2333,,BrewIQ,SHU IPA
05/03/2024 03:56,-11.07,1.77,5.55,13.1,0.07,17.8,18.156,20,2349,,BrewIQ,SHU IPA
05/03/2024 04:16,-10.73,1.58,5.59,13.2,0.07,17.9,18.256,20,2355,,BrewIQ,SHU IPA
05/03/2024 04:36,-10.4,1.49,5.59,13.1,0.07,17.9,18.256,20,2350,,BrewIQ,SHU IPA
05/03/2024 04:56,-10.07,1.47,5.59,13.2,0.07,17.9,18.256,20,2354,,BrewIQ,SHU IPA
05/03/2024 05:16,-9.73,1.44,5.55,13.2,0.07,17.9,18.256,20,2356,,BrewIQ,SHU IPA
05/03/2024 05:36,-9.4,1.3,5.59,13.2,0.06,17.9,18.256,20,2353,,BrewIQ,SHU IPA
05/03/2024 05:56,-9.07,1.34,5.55,13.2,0.07,17.9,18.256,20,2352,,BrewIQ,SHU IPA
05/03/2024 06:16,-8.73,1.23,5.59,13.2,0.06,18,18.356,20,2349,,BrewIQ,SHU IPA
05/03/2024 06:36,-8.4,1.18,5.59,13.2,0.07,18,18.356,20,2351,,BrewIQ,SHU IPA
05/03/2024 06:56,-8.07,1.22,5.55,13.2,0.07,18,18.356,20,2351,,BrewIQ,SHU IPA
05/03/2024 07:16,-7.73,1.2,5.58,13.2,0.07,18,18.356,20,2352,,BrewIQ,SHU IPA
