Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
01/30/2025 17:51:00,-17.15,0.98,4.46,13.3,0.82,0.75,1.24,0.08,40.9,41.256,23,1434,,BrewIQ,Mixed-Culture 75
01/30/2025 18:11:00,-16.82,0.43,5,13.3,0.82,0.75,1.2,0.09,40.8,41.156,24,1178,,BrewIQ,Mixed-Culture 75
01/30/2025 18:31:00,-16.48,0.35,5.08,13.3,0.82,0.75,1.18,0.08,40.2,40.556,24,1197,,BrewIQ,Mixed-Culture 75
01/30/2025 18:51:00,-16.15,0.28,5.13,13.3,0.82,0.75,1.13,0.08,39.6,39.956,24,1172,,BrewIQ,Mixed-Culture 75
01/30/2025 19:11:00,-15.82,0.28,5.14,13.3,0.82,0.75,1.1,0.08,38.8,39.156,25,1190,,BrewIQ,Mixed-Culture 75
01/30/2025 19:31:00,-15.48,0.28,5.18,13.3,0.82,0.75,1.06,0.1,38,38.356,25,1164,,BrewIQ,Mixed-Culture 75
01/30/2025 19:51:00,-15.15,0.24,5.18,13.3,0.82,0.75,1,0.09,37.2,37.556,25,1152,,BrewIQ,Mixed-Culture 75
01/30/2025 20:11:00,-14.82,0.24,5.19,13.3,0.82,0.75,0.96,0.09,36.4,36.756,25,1181,,BrewIQ,Mixed-Culture 75
01/30/2025 20:31:00,-14.48,0.24,5.2,13.3,0.82,0.75,0.93,0.09,35.7,36.056,25,1174,,BrewIQ,Mixed-Culture 75
01/30/2025 20:51:00,-14.15,0.24,5.21,13.3,0.82,0.75,0.91,0.09,35,35.356,25,1183,,BrewIQ,Mixed-Culture 75
01/30/2025 21:11:00,-13.82,0.25,5.21,13.3,0.82,0.75,0.86,0.09,34.2,34.556,24,1186,,BrewIQ,Mixed-Culture 75
01/30/2025 21:31:00,-13.48,0.25,5.22,13.3,0.82,0.75,0.84,0.09,33.6,33.956,24,1185,,BrewIQ,Mixed-Culture 75
01/30/2025 21:51:00,-13.15,0.25,5.25,13.3,0.82,0.75,0.8,0.09,32.9,33.256,24,1180,,BrewIQ,Mixed-Culture 75
01/30/2025 22:11:00,-12.82,0.25,5.24,13.3,0.82,0.75,0.77,0.1,32.2,32.556,24,1154,,BrewIQ,Mixed-Culture 75
01/30/2025 22:31:00,-12.48,0.25,5.25,13.3,0.82,0.75,0.74,0.09,31.6,31.956,24,1160,,BrewIQ,Mixed-Culture 75
01/30/2025 22:51:00,-12.15,0.25,5.23,13.3,0.82,0.75,0.7,0.09,30.9,31.256,24,1163,,BrewIQ,Mixed-Culture 75
01/30/2025 23:11:00,-11.82,0.26,5.26,13.3,0.82,0.75,0.68,0.08,30.3,30.656,24,1160,,BrewIQ,Mixed-Culture 75
01/30/2025 23:31:00,-11.48,0.27,5.27,13.4,0.07,0,0.64,0.09,29.7,30.056,24,1179,,BrewIQ,Mixed-Culture 75
