Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
05/23/2024 14:48:00,-21.2,3.86,4.5,12.1,1.47,1.22,0.88,0.07,31.1,31.456,23,2446,,BrewIQ,Mixed-Culture 50
05/23/2024 15:08:00,-20.87,3.82,5.19,12.3,-0.16,-0.16,0.64,0.06,30.6,30.956,23,2204,,BrewIQ,Mixed-Culture 50
05/23/2024 15:28:00,-20.53,3.73,5.37,12.3,-0.16,-0.16,0.62,0.07,29.8,30.156,23,2177,,BrewIQ,Mixed-Culture 50
05/23/2024 15:48:00,-20.2,3.87,5.44,12.3,-0.16,-0.16,0.59,0.07,29.2,29.556,23,2178,,BrewIQ,Mixed-Culture 50
05/23/2024 16:08:00,-19.87,3.95,5.47,12.3,-0.16,-0.16,0.57,0.07,28.6,28.956,23,2176,,BrewIQ,Mixed-Culture 50
05/23/2024 16:28:00,-19.53,3.81,5.49,12.3,-0.16,-0.16,0.54,0.07,28,28.356,23,2172,,BrewIQ,Mixed-Culture 50
05/23/2024 16:48:00,-19.2,3.93,5.51,12.3,-0.16,-0.16,0.51,0.07,27.3,27.656,23,2170,,BrewIQ,Mixed-Culture 50
05/23/2024 17:08:00,-18.87,3.88,5.53,12.3,-0.16,-0.16,0.5,0.06,26.7,27.056,22,2169,,BrewIQ,Mixed-Culture 50
05/23/2024 17:28:00,-18.53,4.05,5.56,12.3,-0.16,-0.16,0.47,0.06,26.2,26.556,22,2166,,BrewIQ,Mixed-Culture 50
05/23/2024 17:48:00,-18.2,4.21,5.55,12.2,0.65,0.81,0.44,0.07,25.6,25.956,22,2161,,BrewIQ,Mixed-Culture 50
05/23/2024 18:08:00,-17.87,4.13,5.56,12.2,0.65,0.81,0.41,0.07,25,25.356,22,2160,,BrewIQ,Mixed-Culture 50
05/23/2024 18:28:00,-17.53,4.34,5.59,12.2,0.65,0.81,0.39,0.07,24.4,24.756,22,2155,,BrewIQ,Mixed-Culture 50
05/23/2024 18:48:00,-17.2,6.25,5.6,12.3,-0.16,-0.16,0.37,0.07,23.9,24.256,22,2154,,BrewIQ,Mixed-Culture 50
05/23/2024 19:08:00,-16.87,4.76,5.58,12.3,-0.16,-0.16,0.36,0.07,23.4,23.756,22,2152,,BrewIQ,Mixed-Culture 50
05/23/2024 19:28:00,-16.53,4.54,5.62,12.3,-0.16,-0.16,0.33,0.07,22.8,23.156,22,2154,,BrewIQ,Mixed-Culture 50
05/23/2024 19:48:00,-16.2,4.66,5.6,12.3,-0.16,-0.16,0.32,0.07,22.4,22.756,22,2149,,BrewIQ,Mixed-Culture 50
05/23/2024 20:08:00,-15.87,4.77,5.6,12.3,-0.16,-0.16,0.3,0.07,21.9,22.256,23,2149,,BrewIQ,Mixed-Culture 50
05/23/2024 20:28:00,-15.53,4.86,5.6,12.3,-0.16,-0.16,0.28,0.07,21.4,21.756,23,2170,,BrewIQ,Mixed-Culture 50
05/23/2024 20:48:00,-15.2,4.64,5.61,12.3,-0.16,-0.16,0.26,0.07,20.9,21.256,23,2148,,BrewIQ,Mixed-Culture 50
