Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
10/24/2024 15:06:00,-18.9,1.05,4.61,12.1,2.5,2.18,1.03,0.08,38.5,38.856,24,1796,,BrewIQ,Mixed-Culture 25
10/24/2024 15:26:00,-18.57,0.6,5.17,12.4,0.08,0,0.98,0.08,38.3,38.656,22,1818,,BrewIQ,Mixed-Culture 25
10/24/2024 15:46:00,-18.23,0.41,5.25,12.3,0.89,0.81,1.01,0.08,37.6,37.956,23,1794,,BrewIQ,Mixed-Culture 25
10/24/2024 16:06:00,-17.9,0.38,5.3,12.3,0.89,0.81,0.94,0.08,36.8,37.156,23,1785,,BrewIQ,Mixed-Culture 25
10/24/2024 16:26:00,-17.57,0.35,5.3,12.3,0.89,0.81,0.92,0.08,36,36.356,23,1777,,BrewIQ,Mixed-Culture 25
10/24/2024 16:46:00,-17.23,0.33,5.33,12.3,0.89,0.81,0.88,0.08,35.2,35.556,23,1771,,BrewIQ,Mixed-Culture 25
10/24/2024 17:06:00,-16.9,0.31,5.35,12.3,0.89,0.81,0.84,0.09,34.5,34.856,23,1788,,BrewIQ,Mixed-Culture 25
10/24/2024 17:26:00,-16.57,0.31,5.36,12.3,0.89,0.81,0.81,0.09,33.8,34.156,23,1766,,BrewIQ,Mixed-Culture 25
10/24/2024 17:46:00,-16.23,0.29,5.34,12.3,0.89,0.81,0.77,0.08,33,33.356,23,1760,,BrewIQ,Mixed-Culture 25
10/24/2024 18:06:00,-15.9,0.3,5.35,12.3,0.89,0.81,0.75,0.08,32.3,32.656,23,1778,,BrewIQ,Mixed-Culture 25
10/24/2024 18:26:00,-15.57,0.3,5.36,12.3,0.89,0.81,0.72,0.09,31.6,31.956,23,1756,,BrewIQ,Mixed-Culture 25
10/24/2024 18:46:00,-15.23,0.3,5.39,12.4,0.08,0,0.68,0.08,30.9,31.256,23,1753,,BrewIQ,Mixed-Culture 25
10/24/2024 19:06:00,-14.9,0.29,5.39,12.4,0.08,0,0.65,0.08,30.2,30.556,23,1750,,BrewIQ,Mixed-Culture 25
10/24/2024 19:26:00,-14.57,0.29,5.38,12.4,0.08,0,0.64,0.09,29.6,29.956,23,1746,,BrewIQ,Mixed-Culture 25
10/24/2024 19:46:00,-14.23,0.3,5.39,12.4,0.08,0,0.59,0.08,29,29.356,23,1745,,BrewIQ,Mixed-Culture 25
10/24/2024 20:06:00,-13.9,0.29,5.39,12.4,0.08,0,0.57,0.08,28.3,28.656,23,1762,,BrewIQ,Mixed-Culture 25
10/24/2024 20:26:00,-13.57,0.31,5.41,12.4,0.08,0,0.54,0.09,27.7,28.056,23,1741,,BrewIQ,Mixed-Culture 25
10/24/2024 20:46:00,-13.23,0.3,5.4,12.3,0.89,0.81,0.51,0.08,27.1,27.456,22,1738,,BrewIQ,Mixed-Culture 25
10/24/2024 21:06:00,-12.9,0.3,5.43,12.3,0.89,0.81,0.5,0.08,26.5,26.856,22,1737,,BrewIQ,Mixed-Culture 25
10/24/2024 21:26:00,-12.57,0.3,5.43,12.3,0.89,0.81,0.47,0.08,26,26.356,22,1754,,BrewIQ,Mixed-Culture 25
10/24/2024 21:46:00,-12.23,0.3,5.43,12.3,0.89,0.81,0.46,0.08,25.4,25.756,22,1736,,BrewIQ,Mixed-Culture 25
10/24/2024 22:06:00,-11.9,0.3,5.45,12.3,0.89,0.81,0.43,0.08,24.9,25.256,22,1737,,BrewIQ,Mixed-Culture 25
10/24/2024 22:26:00,-11.57,0.3,5.45,12.3,0.89,0.81,0.4,0.08,24.3,24.656,22,1731,,BrewIQ,Mixed-Culture 25
10/24/2024 22:46:00,-11.23,0.3,5.43,12.3,0.89,0.81,0.39,0.08,23.8,24.156,22,1729,,BrewIQ,Mixed-Culture 25
10/24/2024 23:06:00,-10.9,0.3,5.46,12.3,0.89,0.81,0.36,0.08,23.3,23.656,22,1730,,BrewIQ,Mixed-Culture 25
10/24/2024 23:26:00,-10.57,0.3,5.44,12.3,0.89,0.81,0.35,0.08,22.8,23.156,22,1732,,BrewIQ,Mixed-Culture 25
