Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),ADF (%),RDF (%),ABV Est. (%),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
11/28/2024 09:06:00,-197.9,0.4,5.11,3,76.1,63.11,5.25,0.07,5.8,,6,927,,BrewIQ,Mixed-Culture 25
11/28/2024 09:26:00,-197.57,0.4,5.09,3,76.1,63.11,5.25,0.08,5.8,,6,910,,BrewIQ,Mixed-Culture 25
11/28/2024 09:46:00,-197.23,0.4,5.13,3,76.1,63.11,5.25,0.07,5.8,,6,906,,BrewIQ,Mixed-Culture 25
11/28/2024 10:06:00,-196.9,0.4,5.1,3,76.1,63.11,5.25,0.08,5.7,,6,906,,BrewIQ,Mixed-Culture 25
11/28/2024 10:26:00,-196.57,0.4,5.1,3,76.1,63.11,5.25,0.07,5.8,,6,907,,BrewIQ,Mixed-Culture 25
11/28/2024 10:46:00,-196.23,0.4,5.11,3,76.1,63.11,5.25,0.08,5.8,,6,905,,BrewIQ,Mixed-Culture 25
11/28/2024 11:06:00,-195.9,0.4,5.05,3,76.1,63.11,5.25,0.07,5.7,,6,904,,BrewIQ,Mixed-Culture 25
11/28/2024 11:26:00,-195.57,0.4,5.06,3,76.1,63.11,5.25,0.08,5.7,,6,905,,BrewIQ,Mixed-Culture 25
11/28/2024 11:46:00,-195.23,0.4,5.13,3,76.1,63.11,5.25,0.07,5.8,,6,906,,BrewIQ,Mixed-Culture 25
11/28/2024 12:06:00,-194.9,0.4,5.07,3,76.1,63.11,5.25,0.08,5.8,,6,904,,BrewIQ,Mixed-Culture 25
11/28/2024 12:26:00,-194.57,0.4,5.09,3,76.1,63.11,5.25,0.08,5.8,,6,905,,BrewIQ,Mixed-Culture 25
11/28/2024 12:46:00,-194.23,0.4,5.12,3,76.1,63.11,5.25,0.07,5.7,,6,904,,BrewIQ,Mixed-Culture 25
11/28/2024 13:06:00,-193.9,0.41,5.09,3,76.1,63.11,5.25,0.07,5.8,,6,906,,BrewIQ,Mixed-Culture 25
