Timestamp (BST),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm)
2022-06-17 16:00:00,0.01,1.72,5.77,12.0,0.07,22.4,20.0,2418.0
2022-06-17 16:10:00,0.18,1.69,5.76,12.0,0.07,22.2,20.0,2424.0
2022-06-17 16:20:00,0.35,1.7,5.76,12.0,0.07,22.1,20.0,2427.0
2022-06-17 16:30:00,0.52,1.6,5.76,12.0,0.07,22.1,19.0,2424.0
2022-06-17 16:40:00,0.68,1.54,5.76,12.0,0.07,22.1,19.0,2427.0
2022-06-17 16:50:00,0.85,1.56,5.76,12.0,0.07,22.1,19.0,2422.0
2022-06-17 17:00:00,1.02,1.49,5.75,12.0,0.07,22.1,19.0,2426.0
2022-06-17 17:10:00,1.18,1.42,5.75,12.0,0.07,22.1,19.0,2420.0
2022-06-17 17:20:00,1.35,1.4,5.75,12.0,0.07,22.1,19.0,2420.0
2022-06-17 17:30:00,1.52,1.35,5.75,12.0,0.07,22.2,19.0,2418.0
2022-06-17 17:40:00,1.68,1.35,5.75,12.0,0.07,22.1,19.0,2421.0
2022-06-17 17:50:00,1.85,1.34,5.75,12.0,0.07,22.2,19.0,2418.0
2022-06-17 18:00:00,2.02,1.31,5.75,12.0,0.07,22.1,19.0,2421.0
2022-06-17 18:10:00,2.18,1.29,5.74,12.0,0.07,22.2,19.0,2418.0
2022-06-17 18:20:00,2.35,1.28,5.74,12.0,0.07,22.0,19.0,2428.0
2022-06-17 18:30:00,2.52,1.27,5.74,12.0,0.07,22.1,19.0,2422.0
2022-06-17 18:40:00,2.68,1.27,5.74,12.0,0.07,22.2,19.0,2419.0
2022-06-17 18:50:00,2.85,1.28,5.74,12.0,0.07,22.1,19.0,2421.0
2022-06-17 19:00:00,3.02,1.24,5.74,12.0,0.07,22.2,19.0,2418.0
2022-06-17 19:10:00,3.18,1.22,5.74,12.0,0.07,22.2,20.0,2418.0
2022-06-17 19:20:00,3.35,1.23,5.73,12.0,0.07,22.1,20.0,2421.0
2022-06-17 19:30:00,3.52,1.16,5.73,12.0,0.07,22.2,20.0,2418.0
2022-06-17 19:40:00,3.68,1.2,5.73,12.0,0.07,22.2,20.0,2418.0
2022-06-17 19:50:00,3.85,1.24,5.73,12.0,0.07,22.1,20.0,2421.0
2022-06-17 20:00:00,4.02,1.19,5.73,12.0,0.07,22.2,20.0,2418.0
2022-06-17 20:10:00,4.18,1.18,5.73,12.0,0.07,22.2,20.0,2419.0
2022-06-17 20:20:00,4.35,1.23,5.72,12.0,0.07,22.2,20.0,2419.0
2022-06-17 20:30:00,4.52,1.23,5.72,12.0,0.07,22.2,20.0,2418.0
2022-06-17 20:40:00,4.68,1.22,5.72,12.0,0.07,22.3,21.0,2416.0
2022-06-17 20:50:00,4.85,1.23,5.72,12.0,0.07,22.3,21.0,2416.0
2022-06-17 21:00:00,5.02,1.2,5.71,12.0,0.07,22.3,21.0,2416.0
2022-06-17 21:10:00,5.18,1.21,5.71,12.0,0.07,22.2,21.0,2419.0
2022-06-17 21:20:00,5.35,1.2,5.71,12.0,0.07,22.3,21.0,2416.0
2022-06-17 21:30:00,5.52,1.21,5.7,12.0,0.07,22.2,21.0,2419.0
2022-06-17 21:40:00,5.68,1.2,5.7,12.0,0.07,22.3,21.0,2416.0
2022-06-17 21:50:00,5.85,1.2,5.7,12.0,0.07,22.3,21.0,2416.0
2022-06-17 22:00:00,6.02,1.2,5.69,12.0,0.07,22.2,21.0,2419.0
2022-06-17 22:10:00,6.18,1.19,5.69,12.0,0.07,22.3,21.0,2416.0
2022-06-17 22:20:00,6.35,1.19,5.69,12.0,0.07,22.3,21.0,2416.0
2022-06-17 22:30:00,6.52,1.18,5.69,12.0,0.07,22.3,21.0,2413.0
2022-06-17 22:40:00,6.68,1.17,5.68,12.0,0.07,22.3,21.0,2416.0
