time_h,Cs_measured_gL,Cs_pred_gL,X_pred_gL,Ce_pred_gL
0.01,125.78596607999998,125.78623,0.0975444,0.0015353895
3.3275551102204406,125.78596607999998,125.697365,0.094113864,0.0016479277
6.645110220440881,125.78596607999998,125.56444,0.09034173,0.0018258146
9.962665330661322,125.78596607999998,125.40569,0.08667227,0.0020637256
13.280220440881763,125.78596607999998,125.210686,0.08333505,0.0024008718
16.597775551102206,124.688130904673,124.93933,0.08103697,0.0029650491
19.915330661322646,124.688130904673,124.513756,0.08136146,0.0041369894
23.23288577154309,123.59116008868799,123.73405,0.08844892,0.0076416857
26.550440881763528,122.495052849273,122.3774,0.109446555,0.022259213
29.867995991983967,120.30542597062502,120.38584,0.15311399,0.10214312
33.18555110220441,117.027442925568,117.54499,0.23310867,0.636342
36.503106212424846,113.75718986079302,114.02137,0.33488992,2.358859
39.820661322645286,109.408840445625,109.080956,0.4264591,5.1437263
43.138216432865725,104.2750427856319,104.33857,0.4592862,7.619974
46.45577154308617,99.00461983378345,98.348564,0.4712417,10.548711
49.77332665330661,92.151493995833,92.13104,0.48350167,13.530737
53.09088176352705,86.80287553996799,86.10812,0.49757126,16.43103
56.40843687374749,80.04702262397123,80.45061,0.5059389,19.189617
59.72599198396793,75.10944829023299,75.00419,0.505873,21.875051
63.043547094188376,69.67235801229317,69.824165,0.49968895,24.44984
66.36110220440882,64.56609793059299,64.95444,0.48452732,26.935434
69.67865731462926,60.371788835393005,60.12825,0.47760823,29.390348
72.9962124248497,56.190566870625,55.3946,0.47354165,31.808502
76.31376753507014,53.063209425408004,50.64869,0.4617775,34.230503
79.63132264529058,45.794447645625,46.77868,0.452001,36.208588
82.94887775551102,43.12378949452162,42.646484,0.41808406,38.30799
86.26643286573146,37.535712831993,39.093456,0.37569046,40.090614
89.58398797595191,35.479056370625,34.76893,0.27384332,42.101414
92.90154308617235,31.375333727073,31.363338,0.15543707,43.378067
96.21909819639279,29.328255447352998,29.309006,0.0716674,43.74092
99.53665330661323,27.284357805633004,27.618969,0.023862122,43.632767
102.85420841683367,26.263599837488,26.80531,0.013987216,43.57469
106.17176352705411,26.263599837488,26.151031,0.008557536,43.473602
109.48931863727455,26.263599837488,25.82618,0.006865512,43.44227
112.80687374749499,25.243634765624996,25.627144,0.0059716273,43.418938
116.12442885771543,27.284357805633004,26.373959,0.005891946,43.07701
119.44198396793587,26.263599837488,27.044846,0.0060907626,42.79849
122.75953907815631,26.263599837488,27.013966,0.006031624,42.782288
126.07709418837676,26.546374943599176,26.745506,0.0058924337,42.84552
129.3946492985972,27.284357805633004,26.432407,0.005744792,42.922935
132.71220440881763,26.263599837488,26.12701,0.005596487,42.989494
136.02975951903807,26.263599837488,25.900032,0.0054964097,43.042603
139.3473146292585,25.243634765624996,25.714828,0.005416673,43.08442
142.66486973947895,25.243634765624996,25.577961,0.005364695,43.11914
145.98242484969938,25.243634765624996,25.485989,0.005340046,43.150482
149.29997995991982,25.243634765624996,25.410427,0.005321792,43.177002
152.61753507014026,25.243634765624996,25.34842,0.0053088595,43.199593
155.9350901803607,25.243634765624996,25.323761,0.005321271,43.224396
159.25264529058114,25.243634765624996,25.291756,0.005324015,43.24364
162.57020040080158,25.243634765624996,25.267189,0.005329507,43.260887
165.88775551102202,25.243634765624996,25.264378,0.005349363,43.280113
169.20531062124246,25.243634765624996,25.250504,0.0053581833,43.294262
172.5228657314629,25.243634765624996,25.259777,0.0053826035,43.311794
175.84042084168334,25.243634765624996,25.2485,0.005389622,43.32251
179.1579759519038,25.243634765624996,25.238556,0.005396285,43.331825
182.47553106212425,25.243634765624996,25.242634,0.0054117506,43.34328
185.7930861723447,25.243634765624996,25.240623,0.0054216315,43.351955
189.11064128256513,25.243634765624996,25.241852,0.0054326467,43.36041
192.42819639278557,25.243634765624996,25.247887,0.005445693,43.369186
195.745751503006,25.243634765624996,25.237198,0.005447387,43.37275
199.06330661322644,25.243634765624996,25.245586,0.0054600458,43.38064
202.38086172344688,25.243634765624996,25.24081,0.005464264,43.384407
205.69841683366732,25.243634765624996,25.247787,0.0054743527,43.390743
209.01597194388776,25.243634765624996,25.248753,0.005480518,43.39501
212.3335270541082,25.243634765624996,25.24961,0.0054861056,43.398823
215.65108216432864,25.243634765624996,25.250378,0.0054911585,43.402233
218.96863727454908,25.243634765624996,25.249191,0.005495009,43.404793
222.28619238476952,25.243634765624996,25.251617,0.0054998975,43.408012
225.60374749498996,25.243634765624996,25.252102,0.0055036647,43.41046
228.9213026052104,25.243634765624996,25.252502,0.005507066,43.41265
232.23885771543084,25.243634765624996,25.252346,0.0055100285,43.414497
235.55641282565128,25.243634765624996,25.249104,0.0055119754,43.41535
238.87396793587172,25.243634765624996,25.249428,0.0055146627,43.416985
242.19152304609216,25.243634765624996,25.245857,0.0055163465,43.41745
245.5090781563126,25.243634765624996,25.251755,0.0055196187,43.420242
248.82663326653307,25.243634765624996,25.25,0.005521322,43.42094
252.1441883767535,25.243634765624996,25.251617,0.0055233208,43.422394
255.46174348697394,25.243634765624996,25.253452,0.0055251042,43.423813
258.7792985971944,25.243634765624996,25.251335,0.005526402,43.42414
262.0968537074148,25.243634765624996,25.252396,0.005527801,43.425194
265.41440881763526,25.243634765624996,25.25314,0.0055290204,43.4261
268.7319639278557,25.243634765624996,25.246788,0.005530067,43.42518
272.04951903807614,25.243634765624996,25.252804,0.0055310926,43.42728
275.3670741482966,25.243634765624996,25.252163,0.005532011,43.42767
278.684629258517,25.243634765624996,25.252445,0.0055328184,43.428257
