Variable,Model,R2,RMSE (g/L),MAE (g/L)
Cs,PINN,0.9998312772158934,0.4568481865102636,0.28076086223448377
Cs,RF,0.9999910743569963,0.10507630561279106,0.043278633872680924
Cs,GP,0.9994145082646282,0.851031084482435,0.2544609279406375
Cs,LSTM,0.9994663156216889,0.8125073232388316,0.42424451118643347
Ce (vs PINN),RF,0.9999899479847262,0.04714315904521408,0.017314782540436738
Ce (vs PINN),GP,0.9999802070639163,0.06615264635260215,0.022433027293852627
Ce (vs PINN),LSTM,0.9996308265764533,0.28569808256780477,0.15108378714348192
