time_h,Cs_measured_gL,Cs_pred_gL,X_pred_gL,Ce_pred_gL
0.01,125.78596607999998,125.78532,0.09716163,0.0016217668
3.3275551102204406,125.78596607999998,125.75336,0.097283706,0.0016507835
6.645110220440881,125.78596607999998,125.65803,0.098064154,0.0017390492
9.962665330661322,125.78596607999998,125.53414,0.09928951,0.0018628307
13.280220440881763,125.78596607999998,125.3711,0.1011913,0.0020418204
16.597775551102206,124.688130904673,125.10496,0.10487402,0.0023741107
19.915330661322646,124.688130904673,124.62678,0.11269064,0.0031169776
23.23288577154309,123.59116008868799,123.680855,0.131001,0.005340401
26.550440881763528,122.495052849273,122.13404,0.16661054,0.012786297
29.867995991983967,120.30542597062502,120.13856,0.22009799,0.03846021
33.18555110220441,117.027442925568,117.463295,0.2971974,0.15569808
36.503106212424846,113.75718986079302,114.18279,0.38900515,0.6729019
39.820661322645286,109.408840445625,109.22417,0.5081226,2.5957413
43.138216432865725,104.2750427856319,104.45828,0.59960467,4.916934
46.45577154308617,99.00461983378345,98.31489,0.68587625,7.913963
49.77332665330661,92.151493995833,92.04682,0.7369222,10.911973
53.09088176352705,86.80287553996799,86.0286,0.7510072,13.764497
56.40843687374749,80.04702262397123,80.37188,0.737416,16.451174
59.72599198396793,75.10944829023299,74.98788,0.71108,19.02669
63.043547094188376,69.67235801229317,69.9879,0.6863586,21.437334
66.36110220440882,64.56609793059299,65.020004,0.67076033,23.900618
69.67865731462926,60.371788835393005,60.20461,0.6754577,26.278822
72.9962124248497,56.190566870625,55.32173,0.6822398,28.663343
76.31376753507014,53.063209425408004,50.424793,0.6611294,30.977812
79.63132264529058,45.794447645625,46.438995,0.63564235,32.816902
82.94887775551102,43.12378949452162,42.49625,0.5454635,34.53401
86.26643286573146,37.535712831993,39.20916,0.4339867,35.88598
89.58398797595191,35.479056370625,35.1361,0.22452146,37.318165
92.90154308617235,31.375333727073,31.499996,0.08663433,38.40113
96.21909819639279,29.328255447352998,29.272888,0.04118172,38.971325
99.53665330661323,27.284357805633004,27.72499,0.02111163,39.259193
102.85420841683367,26.263599837488,26.928535,0.014946291,39.401646
106.17176352705411,26.263599837488,26.310802,0.010862913,39.47518
109.48931863727455,26.263599837488,25.962124,0.009148324,39.52199
112.80687374749499,25.243634765624996,25.736347,0.00811348,39.547203
116.12442885771543,27.284357805633004,26.354015,0.007521477,39.211006
119.44198396793587,26.263599837488,27.187134,0.007557314,38.803627
122.75953907815631,26.263599837488,27.081728,0.007532318,38.817276
126.07709418837676,26.546374943599176,26.7005,0.0074734725,38.94751
129.3946492985972,27.284357805633004,26.338825,0.007409049,39.07058
132.71220440881763,26.263599837488,26.035198,0.007341935,39.163795
136.02975951903807,26.263599837488,25.822586,0.007297679,39.231186
139.3473146292585,25.243634765624996,25.657648,0.007262234,39.28128
142.66486973947895,25.243634765624996,25.537333,0.007240054,39.320213
145.98242484969938,25.243634765624996,25.454765,0.0072315456,39.352608
149.29997995991982,25.243634765624996,25.38808,0.0072258413,39.378906
152.61753507014026,25.243634765624996,25.333946,0.007222539,39.400444
155.9350901803607,25.243634765624996,25.308054,0.007232958,39.42213
159.25264529058114,25.243634765624996,25.278942,0.0072378395,39.438873
162.57020040080158,25.243634765624996,25.256405,0.007244108,39.453423
165.88775551102202,25.243634765624996,25.250677,0.0072586117,39.469017
169.20531062124246,25.243634765624996,25.237831,0.0072667412,39.48043
172.5228657314629,25.243634765624996,25.24315,0.0072842524,39.49444
175.84042084168334,25.243634765624996,25.233501,0.007291337,39.502846
179.1579759519038,25.243634765624996,25.22511,0.0072981506,39.510048
182.47553106212425,25.243634765624996,25.22822,0.0073105185,39.519096
185.7930861723447,25.243634765624996,25.226738,0.0073194294,39.52583
189.11064128256513,25.243634765624996,25.228197,0.007329138,39.53247
192.42819639278557,25.243634765624996,25.234085,0.0073403344,39.539566
195.745751503006,25.243634765624996,25.225386,0.007343812,39.54194
199.06330661322644,25.243634765624996,25.23376,0.0073548905,39.548492
202.38086172344688,25.243634765624996,25.230263,0.0073600984,39.55123
205.69841683366732,25.243634765624996,25.237764,0.0073695425,39.55661
209.01597194388776,25.243634765624996,25.239714,0.007376194,39.560078
212.3335270541082,25.243634765624996,25.241602,0.007382424,39.563194
215.65108216432864,25.243634765624996,25.243393,0.007388255,39.566006
218.96863727454908,25.243634765624996,25.243195,0.0073931357,39.56803
222.28619238476952,25.243634765624996,25.246672,0.007398856,39.570843
225.60374749498996,25.243634765624996,25.248142,0.0074036554,39.572906
228.9213026052104,25.243634765624996,25.249495,0.0074081593,39.574783
232.23885771543084,25.243634765624996,25.250217,0.007412278,39.576332
235.55641282565128,25.243634765624996,25.247559,0.0074154935,39.576866
238.87396793587172,25.243634765624996,25.248674,0.0074193203,39.578285
242.19152304609216,25.243634765624996,25.245499,0.0074222675,39.578484
245.5090781563126,25.243634765624996,25.252659,0.0074265464,39.581284
248.82663326653307,25.243634765624996,25.251364,0.0074294326,39.5818
252.1441883767535,25.243634765624996,25.253773,0.007432543,39.58319
255.46174348697394,25.243634765624996,25.256401,0.007435428,39.58458
258.7792985971944,25.243634765624996,25.254532,0.0074378694,39.584747
262.0968537074148,25.243634765624996,25.25621,0.007440322,39.585777
265.41440881763526,25.243634765624996,25.257486,0.0074425987,39.58664
268.7319639278557,25.243634765624996,25.250648,0.0074447417,39.58546
272.04951903807614,25.243634765624996,25.257845,0.007446687,39.5877
275.3670741482966,25.243634765624996,25.25742,0.0074485834,39.588028
278.684629258517,25.243634765624996,25.25801,0.0074503245,39.58857
