hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,13.0,1.053,22.6,5.51,2568.0,1.54,SHU Lager
0.5,13.0,1.053,22.4,5.51,2569.0,1.43,SHU Lager
1.0,13.0,1.053,22.4,5.51,2565.0,1.32,SHU Lager
1.5,13.0,1.053,22.3,5.51,2564.0,1.21,SHU Lager
2.0,13.0,1.053,22.2,5.51,2564.176,1.124,SHU Lager
2.5,13.0,1.053,22.1,5.51,2563.176,1.035,SHU Lager
3.0,13.0,1.053,22.1,5.51,2563.875,0.945,SHU Lager
3.5,13.0,1.053,22.1,5.5,2563.062,0.879,SHU Lager
4.0,13.0,1.053,22.1,5.5,2561.0,0.831,SHU Lager
4.5,13.0,1.053,22.006,5.5,2561.875,0.753,SHU Lager
5.0,13.0,1.053,22.1,5.5,2558.0,0.672,SHU Lager
5.5,13.0,1.053,22.006,5.5,2559.875,0.621,SHU Lager
6.0,13.0,1.053,22.0,5.5,2558.062,0.582,SHU Lager
6.5,13.0,1.053,22.0,5.5,2557.0,0.561,SHU Lager
7.0,13.0,1.053,21.994,5.49,2556.188,0.551,SHU Lager
7.5,13.0,1.053,21.9,5.49,2557.062,0.521,SHU Lager
8.0,13.0,1.053,21.9,5.49,2556.0,0.51,SHU Lager
8.5,13.0,1.053,21.9,5.48,2556.812,0.491,SHU Lager
9.0,13.0,1.053,21.9,5.48,2555.0,0.471,SHU Lager
9.5,13.0,1.053,21.806,5.48,2556.812,0.441,SHU Lager
10.0,13.0,1.053,21.8,5.47,2555.062,0.049,SHU Lager
10.5,13.0,1.053,21.8,5.47,2553.062,0.04,SHU Lager
11.0,13.0,1.053,21.8,5.461,2552.25,0.04,SHU Lager
11.5,13.0,1.053,21.8,5.46,2553.812,0.05,SHU Lager
12.0,13.0,1.053,21.8,5.45,2552.062,0.05,SHU Lager
12.5,13.0,1.053,21.8,5.44,2552.0,0.05,SHU Lager
13.0,13.0,1.053,21.7,5.43,2554.0,0.069,SHU Lager
13.5,13.0,1.053,21.7,5.421,2553.0,0.166,SHU Lager
14.0,13.0,1.053,21.694,5.41,2553.188,0.22,SHU Lager
14.5,12.97,1.053,21.6,5.391,2557.0,0.318,SHU Lager
15.0,12.93,1.052,21.6,5.37,2559.0,0.398,SHU Lager
15.5,12.97,1.053,21.6,5.341,2561.938,0.488,SHU Lager
16.0,12.9,1.052,21.6,5.301,2570.875,0.559,SHU Lager
16.5,12.9,1.052,21.594,5.261,2578.0,0.61,SHU Lager
17.0,12.9,1.052,21.5,5.221,2586.875,0.639,SHU Lager
17.5,12.9,1.052,21.4,5.181,2596.875,0.67,SHU Lager
18.0,12.9,1.052,21.4,5.141,2607.625,0.699,SHU Lager
