hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
39.5,12.152,1.049,18.1,5.36,2270.121,4.454,Mixed-Culture 50
40.0,12.0,1.048,18.1,5.34,2272.0,4.29,Mixed-Culture 50
40.5,12.103,1.049,18.103,5.385,2270.667,4.268,Mixed-Culture 50
41.0,12.1,1.049,17.9,5.4,2273.0,4.24,Mixed-Culture 50
41.5,12.1,1.049,17.852,5.394,2277.455,4.104,Mixed-Culture 50
42.0,12.0,1.048,17.8,5.41,2283.0,4.08,Mixed-Culture 50
42.5,11.952,1.048,17.9,5.43,2290.333,4.222,Mixed-Culture 50
43.0,12.1,1.049,18.0,5.41,2293.0,4.26,Mixed-Culture 50
43.5,11.897,1.048,17.852,5.445,2297.455,4.142,Mixed-Culture 50
44.0,11.7,1.047,17.9,5.42,2301.0,4.17,Mixed-Culture 50
44.5,11.8,1.048,17.948,5.43,2311.909,4.12,Mixed-Culture 50
45.0,11.9,1.048,17.9,5.45,2321.0,4.2,Mixed-Culture 50
45.5,11.955,1.049,17.848,5.435,2326.0,4.192,Mixed-Culture 50
46.0,11.6,1.047,17.9,5.44,2292.0,4.25,Mixed-Culture 50
46.5,11.552,1.047,17.9,5.455,2329.818,4.231,Mixed-Culture 50
47.0,12.2,1.049,17.8,5.42,2337.0,4.09,Mixed-Culture 50
47.5,12.1,1.049,17.9,5.435,2346.97,4.212,Mixed-Culture 50
48.0,12.1,1.049,17.9,5.42,2346.0,4.06,Mixed-Culture 50
48.5,12.048,1.048,17.806,5.435,2312.0,4.252,Mixed-Culture 50
49.0,12.1,1.049,17.6,5.42,2350.0,4.13,Mixed-Culture 50
49.5,12.048,1.048,17.7,5.42,2352.091,4.159,Mixed-Culture 50
50.0,12.1,1.049,17.8,5.42,2348.0,4.33,Mixed-Culture 50
50.5,12.048,1.048,17.848,5.395,2350.939,4.388,Mixed-Culture 50
51.0,12.2,1.049,17.9,5.39,2351.0,4.32,Mixed-Culture 50
51.5,12.003,1.049,18.0,5.41,2352.03,4.231,Mixed-Culture 50
52.0,12.1,1.049,17.6,5.38,2333.0,4.41,Mixed-Culture 50
52.5,12.0,1.048,17.7,5.391,2349.97,4.263,Mixed-Culture 50
53.0,11.9,1.048,17.8,5.36,2343.0,4.45,Mixed-Culture 50
53.5,11.948,1.048,17.848,5.365,2347.455,4.258,Mixed-Culture 50
54.0,12.0,1.048,17.9,5.35,2345.0,4.43,Mixed-Culture 50
54.5,12.0,1.048,17.948,5.38,2341.0,4.155,Mixed-Culture 50
55.0,11.9,1.048,17.6,5.35,2318.0,4.38,Mixed-Culture 50
55.5,11.948,1.048,17.7,5.355,2329.0,4.242,Mixed-Culture 50
56.0,12.0,1.048,17.7,5.34,2335.0,4.2,Mixed-Culture 50
56.5,11.852,1.048,17.8,5.36,2327.03,4.359,Mixed-Culture 50
57.0,11.8,1.048,17.9,5.33,2331.0,4.53,Mixed-Culture 50
57.5,11.8,1.048,17.948,5.36,2321.515,4.367,Mixed-Culture 50
58.0,11.9,1.048,18.0,5.33,2318.0,4.21,Mixed-Culture 50
58.5,11.9,1.048,17.6,5.33,2307.879,4.376,Mixed-Culture 50
59.0,11.9,1.048,17.7,5.32,2317.0,4.37,Mixed-Culture 50
59.5,11.8,1.048,17.748,5.34,2308.667,4.412,Mixed-Culture 50
60.0,11.8,1.048,17.8,5.31,2303.0,4.39,Mixed-Culture 50
60.5,11.752,1.048,17.9,5.33,2298.545,4.401,Mixed-Culture 50
61.0,11.7,1.047,17.9,5.33,2295.0,4.57,Mixed-Culture 50
61.5,11.7,1.047,17.806,5.315,2284.909,4.378,Mixed-Culture 50
62.0,11.7,1.047,17.6,5.29,2289.0,4.54,Mixed-Culture 50
62.5,11.7,1.047,17.648,5.31,2287.636,4.563,Mixed-Culture 50
63.0,11.7,1.047,17.7,5.3,2282.0,4.42,Mixed-Culture 50
63.5,11.7,1.047,17.8,5.31,2281.455,4.506,Mixed-Culture 50
64.0,11.7,1.047,17.9,5.3,2289.0,4.61,Mixed-Culture 50
64.5,11.6,1.047,17.9,5.3,2286.545,4.645,Mixed-Culture 50
65.0,11.6,1.047,17.9,5.28,2279.0,4.73,Mixed-Culture 50
65.5,11.6,1.047,17.6,5.289,2265.394,4.718,Mixed-Culture 50
66.0,11.7,1.047,17.7,5.27,2258.0,4.82,Mixed-Culture 50
66.5,11.7,1.047,17.7,5.29,2262.545,4.618,Mixed-Culture 50
67.0,11.6,1.047,17.8,5.3,2260.0,4.84,Mixed-Culture 50
67.5,11.548,1.046,17.848,5.28,2259.091,4.667,Mixed-Culture 50
68.0,11.5,1.046,17.9,5.28,2249.0,4.84,Mixed-Culture 50
