hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,10.1,1.04,24.4,5.44,2280.0,0.91,SHU IPA
0.5,10.1,1.04,24.0,5.44,2294.0,0.84,SHU IPA
1.0,10.1,1.04,24.0,5.43,2290.0,0.64,SHU IPA
1.5,10.1,1.04,23.9,5.44,2287.0,0.55,SHU IPA
2.0,10.2,1.041,23.9,5.44,2287.0,0.54,SHU IPA
2.5,10.0,1.04,23.8,5.43,2287.0,0.38,SHU IPA
3.0,10.1,1.04,23.9,5.43,2284.0,0.37,SHU IPA
3.5,10.0,1.04,23.9,5.43,2283.0,0.31,SHU IPA
4.0,10.1,1.04,23.9,5.42,2283.0,0.31,SHU IPA
4.5,10.0,1.04,23.9,5.41,2282.0,0.26,SHU IPA
5.0,10.1,1.04,23.9,5.41,2285.0,0.25,SHU IPA
5.5,10.1,1.04,23.9,5.4,2286.0,0.25,SHU IPA
6.0,10.1,1.04,23.9,5.4,2284.0,0.25,SHU IPA
6.5,10.1,1.04,23.9,5.39,2285.0,0.25,SHU IPA
7.0,10.1,1.04,23.9,5.38,2286.0,0.22,SHU IPA
7.5,10.1,1.04,23.9,5.38,2286.0,0.23,SHU IPA
8.0,10.1,1.04,23.9,5.37,2288.0,0.21,SHU IPA
8.5,10.1,1.04,23.9,5.35,2286.0,0.19,SHU IPA
9.0,10.1,1.04,23.9,5.35,2285.0,0.19,SHU IPA
9.5,10.0,1.04,23.8,5.34,2292.0,0.18,SHU IPA
10.0,10.1,1.04,23.9,5.33,2286.0,0.18,SHU IPA
10.5,10.1,1.04,23.9,5.33,2289.0,0.18,SHU IPA
11.0,10.1,1.04,23.9,5.32,2289.0,0.18,SHU IPA
11.5,10.1,1.04,23.8,5.3,2291.0,0.18,SHU IPA
12.0,10.1,1.04,23.9,5.29,2288.0,0.18,SHU IPA
12.5,10.0,1.04,23.9,5.29,2288.0,0.17,SHU IPA
13.0,10.0,1.04,23.8,5.28,2295.0,0.18,SHU IPA
13.5,10.0,1.04,23.8,5.26,2295.0,0.18,SHU IPA
14.0,10.0,1.04,23.8,5.26,2294.0,0.18,SHU IPA
14.5,10.0,1.04,23.8,5.25,2294.0,0.17,SHU IPA
15.0,10.0,1.04,23.6,5.23,2297.0,0.17,SHU IPA
15.5,10.0,1.04,23.6,5.23,2297.0,0.17,SHU IPA
16.0,10.0,1.04,23.6,5.21,2294.0,0.16,SHU IPA
16.5,10.0,1.04,23.4,5.19,2298.0,0.16,SHU IPA
17.0,10.1,1.04,23.4,5.18,2298.0,0.16,SHU IPA
17.5,10.0,1.04,23.4,5.17,2295.0,0.15,SHU IPA
18.0,10.0,1.04,23.3,5.16,2296.0,0.15,SHU IPA
18.5,10.0,1.04,23.2,5.15,2299.0,0.14,SHU IPA
19.0,10.0,1.04,23.2,5.13,2296.235,0.13,SHU IPA
19.5,10.0,1.04,23.2,5.12,2296.0,0.13,SHU IPA
20.0,10.0,1.04,23.2,5.102,2296.0,0.13,SHU IPA
20.5,9.95,1.04,23.2,5.095,2297.0,0.12,SHU IPA
21.0,9.95,1.04,23.3,5.08,2294.471,0.12,SHU IPA
21.5,9.9,1.04,23.3,5.06,2294.588,0.12,SHU IPA
22.0,9.93,1.04,23.3,5.051,2297.0,0.12,SHU IPA
22.5,10.0,1.04,23.3,5.04,2297.647,0.12,SHU IPA
23.0,9.836,1.039,23.3,5.02,2299.875,0.12,SHU IPA
23.5,9.9,1.04,23.3,5.009,2299.0,0.12,SHU IPA
24.0,9.9,1.04,23.4,4.989,2296.091,0.12,SHU IPA
