hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,12.4,1.05,22.0,Mixed-Culture 33
0.5,12.387,1.05,21.938,Mixed-Culture 33
1.0,12.373,1.05,21.876,Mixed-Culture 33
1.5,12.36,1.05,21.814,Mixed-Culture 33
2.0,12.346,1.05,21.752,Mixed-Culture 33
2.5,12.333,1.05,21.69,Mixed-Culture 33
3.0,12.319,1.05,21.628,Mixed-Culture 33
3.5,12.306,1.05,21.566,Mixed-Culture 33
4.0,12.292,1.05,21.504,Mixed-Culture 33
4.5,12.279,1.05,21.442,Mixed-Culture 33
5.0,12.265,1.049,21.38,Mixed-Culture 33
5.5,12.252,1.049,21.318,Mixed-Culture 33
6.0,12.238,1.049,21.256,Mixed-Culture 33
6.5,12.225,1.049,21.195,Mixed-Culture 33
7.0,12.211,1.049,21.133,Mixed-Culture 33
7.5,12.198,1.049,21.071,Mixed-Culture 33
8.0,12.184,1.049,21.009,Mixed-Culture 33
8.5,12.171,1.049,20.947,Mixed-Culture 33
9.0,12.158,1.049,20.885,Mixed-Culture 33
9.5,12.144,1.049,20.823,Mixed-Culture 33
10.0,12.131,1.049,20.761,Mixed-Culture 33
10.5,12.117,1.049,20.699,Mixed-Culture 33
11.0,12.104,1.049,20.637,Mixed-Culture 33
11.5,12.09,1.049,20.575,Mixed-Culture 33
12.0,12.077,1.049,20.513,Mixed-Culture 33
12.5,12.063,1.049,20.451,Mixed-Culture 33
13.0,12.05,1.049,20.389,Mixed-Culture 33
13.5,12.036,1.049,20.327,Mixed-Culture 33
14.0,12.023,1.048,20.265,Mixed-Culture 33
14.5,12.009,1.048,20.203,Mixed-Culture 33
15.0,11.996,1.048,20.141,Mixed-Culture 33
15.5,11.982,1.048,20.079,Mixed-Culture 33
16.0,11.969,1.048,20.017,Mixed-Culture 33
16.5,11.955,1.048,19.955,Mixed-Culture 33
17.0,11.942,1.048,19.893,Mixed-Culture 33
17.5,11.929,1.048,19.831,Mixed-Culture 33
18.0,11.915,1.048,19.769,Mixed-Culture 33
18.5,11.902,1.048,19.707,Mixed-Culture 33
19.0,11.856,1.048,19.725,Mixed-Culture 33
19.5,11.805,1.048,19.753,Mixed-Culture 33
20.0,11.755,1.047,19.78,Mixed-Culture 33
20.5,11.705,1.047,19.808,Mixed-Culture 33
21.0,11.655,1.047,19.836,Mixed-Culture 33
21.5,11.604,1.047,19.864,Mixed-Culture 33
22.0,11.554,1.046,19.892,Mixed-Culture 33
22.5,11.504,1.046,19.92,Mixed-Culture 33
23.0,11.454,1.046,19.948,Mixed-Culture 33
23.5,11.403,1.046,19.976,Mixed-Culture 33
24.0,11.353,1.046,20.004,Mixed-Culture 33
24.5,11.303,1.045,20.032,Mixed-Culture 33
25.0,11.252,1.045,20.06,Mixed-Culture 33
25.5,11.202,1.045,20.088,Mixed-Culture 33
26.0,11.152,1.045,20.116,Mixed-Culture 33
26.5,11.102,1.044,20.144,Mixed-Culture 33
27.0,11.051,1.044,20.172,Mixed-Culture 33
27.5,11.001,1.044,20.199,Mixed-Culture 33
28.0,10.916,1.044,20.21,Mixed-Culture 33
28.5,10.83,1.043,20.22,Mixed-Culture 33
29.0,10.743,1.043,20.231,Mixed-Culture 33
29.5,10.657,1.043,20.241,Mixed-Culture 33
30.0,10.571,1.042,20.251,Mixed-Culture 33
30.5,10.485,1.042,20.262,Mixed-Culture 33
31.0,10.399,1.042,20.272,Mixed-Culture 33
31.5,10.313,1.041,20.282,Mixed-Culture 33
32.0,10.227,1.041,20.293,Mixed-Culture 33
32.5,10.141,1.041,20.303,Mixed-Culture 33
33.0,10.055,1.04,20.313,Mixed-Culture 33
33.5,9.969,1.04,20.324,Mixed-Culture 33
34.0,9.883,1.04,20.334,Mixed-Culture 33
34.5,9.796,1.039,20.344,Mixed-Culture 33
35.0,9.71,1.039,20.355,Mixed-Culture 33
35.5,9.624,1.038,20.365,Mixed-Culture 33
36.0,9.538,1.038,20.375,Mixed-Culture 33
36.5,9.452,1.038,20.386,Mixed-Culture 33
37.0,9.366,1.037,20.396,Mixed-Culture 33
37.5,9.28,1.037,20.406,Mixed-Culture 33
38.0,9.194,1.037,20.417,Mixed-Culture 33
38.5,9.108,1.036,20.427,Mixed-Culture 33
39.0,9.022,1.036,20.437,Mixed-Culture 33
39.5,8.936,1.036,20.448,Mixed-Culture 33
40.0,8.85,1.035,20.458,Mixed-Culture 33
40.5,8.763,1.035,20.468,Mixed-Culture 33
41.0,8.677,1.035,20.479,Mixed-Culture 33
41.5,8.591,1.034,20.489,Mixed-Culture 33
42.0,8.505,1.034,20.499,Mixed-Culture 33
42.5,8.424,1.034,20.495,Mixed-Culture 33
43.0,8.344,1.033,20.489,Mixed-Culture 33
43.5,8.263,1.033,20.483,Mixed-Culture 33
44.0,8.182,1.033,20.477,Mixed-Culture 33
44.5,8.102,1.032,20.472,Mixed-Culture 33
45.0,8.021,1.032,20.466,Mixed-Culture 33
45.5,7.94,1.032,20.46,Mixed-Culture 33
46.0,7.86,1.031,20.454,Mixed-Culture 33
46.5,7.779,1.031,20.449,Mixed-Culture 33
47.0,7.698,1.031,20.443,Mixed-Culture 33
47.5,7.618,1.03,20.437,Mixed-Culture 33
48.0,7.537,1.03,20.431,Mixed-Culture 33
48.5,7.456,1.03,20.425,Mixed-Culture 33
49.0,7.376,1.029,20.42,Mixed-Culture 33
49.5,7.295,1.029,20.414,Mixed-Culture 33
50.0,7.215,1.028,20.408,Mixed-Culture 33
50.5,7.134,1.028,20.402,Mixed-Culture 33
51.0,7.07,1.028,20.388,Mixed-Culture 33
51.5,7.018,1.028,20.367,Mixed-Culture 33
52.0,6.967,1.027,20.347,Mixed-Culture 33
52.5,6.915,1.027,20.326,Mixed-Culture 33
53.0,6.863,1.027,20.305,Mixed-Culture 33
53.5,6.812,1.027,20.285,Mixed-Culture 33
54.0,6.76,1.027,20.264,Mixed-Culture 33
54.5,6.708,1.026,20.243,Mixed-Culture 33
55.0,6.657,1.026,20.223,Mixed-Culture 33
55.5,6.605,1.026,20.202,Mixed-Culture 33
56.0,6.554,1.026,20.181,Mixed-Culture 33
56.5,6.502,1.026,20.161,Mixed-Culture 33
57.0,6.45,1.025,20.14,Mixed-Culture 33
57.5,6.399,1.025,20.119,Mixed-Culture 33
58.0,6.347,1.025,20.099,Mixed-Culture 33
58.5,6.295,1.025,20.078,Mixed-Culture 33
59.0,6.244,1.025,20.057,Mixed-Culture 33
59.5,6.192,1.024,20.037,Mixed-Culture 33
60.0,6.14,1.024,20.016,Mixed-Culture 33
60.5,6.089,1.024,19.995,Mixed-Culture 33
61.0,6.037,1.024,19.975,Mixed-Culture 33
61.5,5.985,1.024,19.954,Mixed-Culture 33
62.0,5.934,1.023,19.933,Mixed-Culture 33
62.5,5.882,1.023,19.913,Mixed-Culture 33
63.0,5.83,1.023,19.892,Mixed-Culture 33
63.5,5.779,1.023,19.871,Mixed-Culture 33
