hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,13.3,1.054,21.0,Mixed-Culture 75
0.5,13.3,1.054,20.839,Mixed-Culture 75
1.0,13.3,1.054,20.679,Mixed-Culture 75
1.5,13.3,1.054,20.518,Mixed-Culture 75
2.0,13.3,1.054,20.357,Mixed-Culture 75
2.5,13.3,1.054,20.196,Mixed-Culture 75
3.0,13.3,1.054,20.036,Mixed-Culture 75
3.5,13.3,1.054,19.875,Mixed-Culture 75
4.0,13.3,1.054,19.714,Mixed-Culture 75
4.5,13.3,1.054,19.554,Mixed-Culture 75
5.0,13.3,1.054,19.393,Mixed-Culture 75
5.5,13.3,1.054,19.232,Mixed-Culture 75
6.0,13.273,1.054,19.206,Mixed-Culture 75
6.5,13.24,1.054,19.213,Mixed-Culture 75
7.0,13.207,1.054,19.221,Mixed-Culture 75
7.5,13.174,1.053,19.228,Mixed-Culture 75
8.0,13.141,1.053,19.235,Mixed-Culture 75
8.5,13.108,1.053,19.243,Mixed-Culture 75
9.0,13.074,1.053,19.25,Mixed-Culture 75
9.5,13.041,1.053,19.258,Mixed-Culture 75
10.0,13.008,1.053,19.265,Mixed-Culture 75
10.5,12.975,1.053,19.272,Mixed-Culture 75
11.0,12.942,1.052,19.28,Mixed-Culture 75
11.5,12.908,1.052,19.287,Mixed-Culture 75
12.0,12.875,1.052,19.294,Mixed-Culture 75
12.5,12.842,1.052,19.302,Mixed-Culture 75
13.0,12.809,1.052,19.309,Mixed-Culture 75
13.5,12.776,1.052,19.317,Mixed-Culture 75
14.0,12.742,1.052,19.324,Mixed-Culture 75
14.5,12.709,1.051,19.331,Mixed-Culture 75
15.0,12.676,1.051,19.339,Mixed-Culture 75
15.5,12.643,1.051,19.346,Mixed-Culture 75
16.0,12.61,1.051,19.353,Mixed-Culture 75
16.5,12.577,1.051,19.361,Mixed-Culture 75
17.0,12.543,1.051,19.368,Mixed-Culture 75
17.5,12.51,1.05,19.376,Mixed-Culture 75
18.0,12.477,1.05,19.383,Mixed-Culture 75
18.5,12.444,1.05,19.39,Mixed-Culture 75
19.0,12.411,1.05,19.398,Mixed-Culture 75
19.5,12.329,1.05,19.413,Mixed-Culture 75
20.0,12.226,1.049,19.432,Mixed-Culture 75
20.5,12.122,1.049,19.451,Mixed-Culture 75
21.0,12.018,1.048,19.469,Mixed-Culture 75
21.5,11.915,1.048,19.488,Mixed-Culture 75
22.0,11.811,1.048,19.507,Mixed-Culture 75
22.5,11.707,1.047,19.526,Mixed-Culture 75
23.0,11.603,1.047,19.545,Mixed-Culture 75
23.5,11.5,1.046,19.564,Mixed-Culture 75
24.0,11.396,1.046,19.583,Mixed-Culture 75
24.5,11.292,1.045,19.601,Mixed-Culture 75
25.0,11.188,1.045,19.62,Mixed-Culture 75
25.5,11.085,1.045,19.639,Mixed-Culture 75
26.0,10.981,1.044,19.658,Mixed-Culture 75
26.5,10.877,1.044,19.677,Mixed-Culture 75
27.0,10.774,1.043,19.696,Mixed-Culture 75
27.5,10.67,1.043,19.715,Mixed-Culture 75
28.0,10.566,1.042,19.733,Mixed-Culture 75
28.5,10.462,1.042,19.752,Mixed-Culture 75
29.0,10.359,1.042,19.771,Mixed-Culture 75
29.5,10.255,1.041,19.79,Mixed-Culture 75
30.0,10.151,1.041,19.809,Mixed-Culture 75
30.5,10.048,1.04,19.828,Mixed-Culture 75
31.0,9.944,1.04,19.847,Mixed-Culture 75
31.5,9.84,1.04,19.865,Mixed-Culture 75
32.0,9.736,1.039,19.884,Mixed-Culture 75
32.5,9.633,1.039,19.903,Mixed-Culture 75
33.0,9.529,1.038,19.922,Mixed-Culture 75
33.5,9.425,1.038,19.941,Mixed-Culture 75
34.0,9.321,1.037,19.96,Mixed-Culture 75
34.5,9.218,1.037,19.979,Mixed-Culture 75
35.0,9.114,1.037,19.997,Mixed-Culture 75
35.5,9.01,1.036,20.016,Mixed-Culture 75
36.0,8.907,1.036,20.035,Mixed-Culture 75
36.5,8.803,1.035,20.054,Mixed-Culture 75
37.0,8.699,1.035,20.073,Mixed-Culture 75
37.5,8.595,1.034,20.092,Mixed-Culture 75
38.0,8.492,1.034,20.111,Mixed-Culture 75
38.5,8.388,1.034,20.129,Mixed-Culture 75
