hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,11.4,1.046,23.2,5.36,2369.0,2.2,Mixed-Culture 75
0.5,11.4,1.046,23.1,5.355,2385.455,1.509,Mixed-Culture 75
1.0,11.5,1.046,22.9,5.34,2379.0,0.98,Mixed-Culture 75
1.5,11.448,1.046,22.952,5.39,2390.0,0.788,Mixed-Culture 75
2.0,11.4,1.046,22.9,5.35,2386.0,0.67,Mixed-Culture 75
2.5,11.4,1.046,23.0,5.38,2387.97,0.549,Mixed-Culture 75
3.0,11.4,1.046,23.1,5.38,2386.0,0.45,Mixed-Culture 75
3.5,11.4,1.046,23.1,5.355,2383.061,0.364,Mixed-Culture 75
4.0,11.4,1.046,23.1,5.35,2386.0,0.29,Mixed-Culture 75
4.5,11.4,1.046,23.1,5.34,2383.515,0.285,Mixed-Culture 75
5.0,11.4,1.046,23.2,5.37,2383.735,0.25,Mixed-Culture 75
5.5,11.4,1.046,23.2,5.34,2383.0,0.242,Mixed-Culture 75
6.0,11.4,1.046,23.153,5.36,2383.059,0.24,Mixed-Culture 75
6.5,11.4,1.046,23.224,5.337,2381.455,0.232,Mixed-Culture 75
7.0,11.4,1.046,23.226,5.31,2383.735,0.227,Mixed-Culture 75
7.5,11.4,1.046,23.3,5.302,2381.485,0.228,Mixed-Culture 75
8.0,11.4,1.046,23.3,5.332,2381.0,0.251,Mixed-Culture 75
8.5,11.4,1.046,23.3,5.31,2381.0,0.192,Mixed-Culture 75
9.0,11.4,1.046,23.3,5.3,2381.0,0.18,Mixed-Culture 75
9.5,11.4,1.046,23.3,5.315,2381.0,0.172,Mixed-Culture 75
10.0,11.4,1.046,23.3,5.293,2381.0,0.17,Mixed-Culture 75
10.5,11.4,1.046,23.3,5.292,2381.0,0.178,Mixed-Culture 75
11.0,11.4,1.046,23.3,5.28,2381.0,0.17,Mixed-Culture 75
11.5,11.4,1.046,23.3,5.272,2381.0,0.17,Mixed-Culture 75
12.0,11.4,1.046,23.3,5.269,2381.0,0.206,Mixed-Culture 75
