hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,13.3,1.054,21.0,Mixed-Culture 33
0.5,13.3,1.054,20.839,Mixed-Culture 33
1.0,13.3,1.054,20.679,Mixed-Culture 33
1.5,13.3,1.054,20.518,Mixed-Culture 33
2.0,13.3,1.054,20.357,Mixed-Culture 33
2.5,13.3,1.054,20.196,Mixed-Culture 33
3.0,13.3,1.054,20.036,Mixed-Culture 33
3.5,13.3,1.054,19.875,Mixed-Culture 33
4.0,13.3,1.054,19.714,Mixed-Culture 33
4.5,13.3,1.054,19.554,Mixed-Culture 33
5.0,13.3,1.054,19.393,Mixed-Culture 33
5.5,13.3,1.054,19.232,Mixed-Culture 33
6.0,13.259,1.054,19.215,Mixed-Culture 33
6.5,13.207,1.054,19.233,Mixed-Culture 33
7.0,13.156,1.053,19.252,Mixed-Culture 33
7.5,13.104,1.053,19.27,Mixed-Culture 33
8.0,13.053,1.053,19.288,Mixed-Culture 33
8.5,13.001,1.053,19.307,Mixed-Culture 33
9.0,12.949,1.052,19.325,Mixed-Culture 33
9.5,12.898,1.052,19.344,Mixed-Culture 33
10.0,12.846,1.052,19.362,Mixed-Culture 33
10.5,12.795,1.052,19.38,Mixed-Culture 33
11.0,12.743,1.052,19.399,Mixed-Culture 33
11.5,12.692,1.051,19.417,Mixed-Culture 33
12.0,12.64,1.051,19.436,Mixed-Culture 33
12.5,12.589,1.051,19.454,Mixed-Culture 33
13.0,12.537,1.051,19.472,Mixed-Culture 33
13.5,12.486,1.051,19.491,Mixed-Culture 33
14.0,12.434,1.05,19.509,Mixed-Culture 33
14.5,12.382,1.05,19.528,Mixed-Culture 33
15.0,12.331,1.05,19.546,Mixed-Culture 33
15.5,12.279,1.05,19.565,Mixed-Culture 33
16.0,12.228,1.049,19.583,Mixed-Culture 33
16.5,12.176,1.049,19.601,Mixed-Culture 33
17.0,12.125,1.049,19.62,Mixed-Culture 33
17.5,12.073,1.049,19.638,Mixed-Culture 33
18.0,12.022,1.049,19.657,Mixed-Culture 33
18.5,11.97,1.048,19.675,Mixed-Culture 33
19.0,11.919,1.048,19.693,Mixed-Culture 33
19.5,11.841,1.048,19.709,Mixed-Culture 33
20.0,11.749,1.047,19.723,Mixed-Culture 33
20.5,11.658,1.047,19.737,Mixed-Culture 33
21.0,11.566,1.047,19.751,Mixed-Culture 33
21.5,11.474,1.046,19.766,Mixed-Culture 33
22.0,11.382,1.046,19.78,Mixed-Culture 33
22.5,11.29,1.045,19.794,Mixed-Culture 33
23.0,11.198,1.045,19.808,Mixed-Culture 33
23.5,11.106,1.045,19.822,Mixed-Culture 33
24.0,11.015,1.044,19.836,Mixed-Culture 33
24.5,10.923,1.044,19.85,Mixed-Culture 33
25.0,10.831,1.044,19.864,Mixed-Culture 33
25.5,10.739,1.043,19.879,Mixed-Culture 33
26.0,10.647,1.043,19.893,Mixed-Culture 33
26.5,10.555,1.042,19.907,Mixed-Culture 33
27.0,10.463,1.042,19.921,Mixed-Culture 33
27.5,10.372,1.042,19.935,Mixed-Culture 33
28.0,10.28,1.041,19.949,Mixed-Culture 33
28.5,10.188,1.041,19.963,Mixed-Culture 33
29.0,10.096,1.041,19.978,Mixed-Culture 33
29.5,10.004,1.04,19.992,Mixed-Culture 33
30.0,9.912,1.04,20.006,Mixed-Culture 33
30.5,9.82,1.039,20.02,Mixed-Culture 33
31.0,9.729,1.039,20.034,Mixed-Culture 33
31.5,9.637,1.039,20.048,Mixed-Culture 33
32.0,9.545,1.038,20.062,Mixed-Culture 33
