hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,12.9,1.052,20.2,Mixed-Culture 67
0.5,12.9,1.052,20.194,Mixed-Culture 67
1.0,12.9,1.052,20.187,Mixed-Culture 67
1.5,12.9,1.052,20.181,Mixed-Culture 67
2.0,12.9,1.052,20.175,Mixed-Culture 67
2.5,12.9,1.052,20.168,Mixed-Culture 67
3.0,12.9,1.052,20.162,Mixed-Culture 67
3.5,12.9,1.052,20.155,Mixed-Culture 67
4.0,12.9,1.052,20.149,Mixed-Culture 67
4.5,12.9,1.052,20.143,Mixed-Culture 67
5.0,12.9,1.052,20.136,Mixed-Culture 67
5.5,12.9,1.052,20.13,Mixed-Culture 67
6.0,12.9,1.052,20.124,Mixed-Culture 67
6.5,12.9,1.052,20.117,Mixed-Culture 67
7.0,12.9,1.052,20.111,Mixed-Culture 67
7.5,12.9,1.052,20.104,Mixed-Culture 67
8.0,12.9,1.052,20.098,Mixed-Culture 67
8.5,12.9,1.052,20.092,Mixed-Culture 67
9.0,12.9,1.052,20.085,Mixed-Culture 67
9.5,12.9,1.052,20.079,Mixed-Culture 67
10.0,12.9,1.052,20.073,Mixed-Culture 67
10.5,12.9,1.052,20.066,Mixed-Culture 67
11.0,12.9,1.052,20.06,Mixed-Culture 67
11.5,12.9,1.052,20.053,Mixed-Culture 67
12.0,12.9,1.052,20.047,Mixed-Culture 67
12.5,12.9,1.052,20.041,Mixed-Culture 67
13.0,12.9,1.052,20.034,Mixed-Culture 67
13.5,12.9,1.052,20.028,Mixed-Culture 67
14.0,12.9,1.052,20.022,Mixed-Culture 67
14.5,12.9,1.052,20.015,Mixed-Culture 67
15.0,12.9,1.052,20.009,Mixed-Culture 67
15.5,12.9,1.052,20.002,Mixed-Culture 67
16.0,12.9,1.052,19.996,Mixed-Culture 67
16.5,12.9,1.052,19.99,Mixed-Culture 67
17.0,12.9,1.052,19.983,Mixed-Culture 67
17.5,12.9,1.052,19.977,Mixed-Culture 67
18.0,12.9,1.052,19.971,Mixed-Culture 67
18.5,12.9,1.052,19.964,Mixed-Culture 67
19.0,12.9,1.052,19.958,Mixed-Culture 67
19.5,12.9,1.052,19.951,Mixed-Culture 67
20.0,12.9,1.052,19.945,Mixed-Culture 67
20.5,12.9,1.052,19.939,Mixed-Culture 67
21.0,12.9,1.052,19.932,Mixed-Culture 67
21.5,12.9,1.052,19.926,Mixed-Culture 67
22.0,12.9,1.052,19.92,Mixed-Culture 67
22.5,12.9,1.052,19.913,Mixed-Culture 67
23.0,12.9,1.052,19.907,Mixed-Culture 67
23.5,12.9,1.052,19.9,Mixed-Culture 67
24.0,12.834,1.052,19.918,Mixed-Culture 67
24.5,12.764,1.051,19.938,Mixed-Culture 67
25.0,12.693,1.051,19.957,Mixed-Culture 67
