hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.7,1.051,21.8,5.53,1709.0,0.29,SHU Lager
0.5,12.7,1.051,21.8,5.525,1708.0,0.29,SHU Lager
1.0,12.7,1.051,21.8,5.54,1708.0,0.29,SHU Lager
1.5,12.7,1.051,21.8,5.51,1708.5,0.29,SHU Lager
2.0,12.7,1.051,21.8,5.51,1709.0,0.29,SHU Lager
2.5,12.7,1.051,21.8,5.49,1711.0,0.29,SHU Lager
3.0,12.7,1.051,21.8,5.46,1711.0,0.28,SHU Lager
3.5,12.7,1.051,21.8,5.47,1712.5,0.285,SHU Lager
4.0,12.7,1.051,21.8,5.42,1714.0,0.28,SHU Lager
4.5,12.7,1.051,21.7,5.41,1716.5,0.285,SHU Lager
5.0,12.7,1.051,21.7,5.38,1719.0,0.29,SHU Lager
5.5,12.7,1.051,21.75,5.38,1721.0,0.28,SHU Lager
6.0,12.7,1.051,21.8,5.37,1724.0,0.28,SHU Lager
6.5,12.7,1.051,21.8,5.325,1724.5,0.28,SHU Lager
7.0,12.7,1.051,21.8,5.31,1730.0,0.28,SHU Lager
7.5,12.7,1.051,21.8,5.255,1737.5,0.28,SHU Lager
8.0,12.7,1.051,21.8,5.24,1742.0,0.28,SHU Lager
8.5,12.7,1.051,21.8,5.205,1746.5,0.28,SHU Lager
9.0,12.7,1.051,21.8,5.19,1749.0,0.28,SHU Lager
9.5,12.7,1.051,21.8,5.135,1754.0,0.28,SHU Lager
10.0,12.7,1.051,21.8,5.12,1760.0,0.28,SHU Lager
10.5,12.7,1.051,21.8,5.095,1764.5,0.28,SHU Lager
11.0,12.6,1.051,21.8,5.09,1768.0,0.28,SHU Lager
11.5,12.6,1.051,21.8,5.07,1770.0,0.28,SHU Lager
12.0,12.6,1.051,21.8,5.05,1773.0,0.28,SHU Lager
12.5,12.7,1.051,21.8,5.04,1775.0,0.28,SHU Lager
13.0,12.7,1.051,21.8,5.05,1777.0,0.28,SHU Lager
13.5,12.7,1.051,21.8,5.015,1781.0,0.28,SHU Lager
14.0,12.7,1.051,21.9,4.99,1785.0,0.28,SHU Lager
14.5,12.7,1.051,21.9,4.99,1786.0,0.28,SHU Lager
15.0,12.7,1.051,21.9,5.01,1785.0,0.28,SHU Lager
15.5,12.65,1.051,21.9,4.995,1782.0,0.28,SHU Lager
16.0,12.7,1.051,21.9,5.0,1779.0,0.28,SHU Lager
16.5,12.6,1.051,21.9,4.99,1780.5,0.28,SHU Lager
17.0,12.9,1.052,21.9,5.0,1780.0,0.28,SHU Lager
17.5,12.6,1.051,21.9,4.985,1779.5,0.28,SHU Lager
18.0,12.6,1.051,21.9,4.99,1781.0,0.28,SHU Lager
18.5,12.55,1.05,21.9,4.95,1780.5,0.28,SHU Lager
19.0,12.6,1.051,21.9,4.93,1778.0,0.28,SHU Lager
19.5,12.5,1.05,22.0,4.965,1779.5,0.28,SHU Lager
20.0,12.6,1.051,22.0,4.97,1783.0,0.28,SHU Lager
20.5,12.55,1.05,22.0,4.935,1785.0,0.28,SHU Lager
21.0,12.4,1.05,22.0,4.91,1785.0,0.28,SHU Lager
21.5,12.5,1.05,22.0,4.915,1786.5,0.28,SHU Lager
22.0,12.5,1.05,22.0,4.93,1788.0,0.28,SHU Lager
22.5,12.5,1.05,22.1,4.92,1789.5,0.28,SHU Lager
23.0,12.5,1.05,22.1,4.92,1788.0,0.27,SHU Lager
23.5,12.4,1.05,22.1,4.915,1787.5,0.27,SHU Lager
24.0,12.4,1.05,22.2,4.92,1788.0,0.27,SHU Lager
24.5,12.35,1.05,22.15,4.93,1789.5,0.27,SHU Lager
25.0,12.3,1.05,22.2,4.93,1787.0,0.27,SHU Lager
25.5,12.3,1.05,22.2,4.92,1787.5,0.27,SHU Lager
26.0,12.3,1.05,21.8,4.9,1781.0,0.28,SHU Lager
26.5,12.2,1.049,21.9,4.92,1790.0,0.28,SHU Lager
27.0,12.2,1.049,21.9,4.94,1789.0,0.28,SHU Lager
27.5,12.1,1.049,21.95,4.915,1789.5,0.275,SHU Lager
28.0,12.1,1.049,22.0,4.91,1790.0,0.27,SHU Lager
28.5,12.0,1.048,22.1,4.925,1790.0,0.27,SHU Lager
29.0,12.0,1.048,22.2,4.93,1789.0,0.27,SHU Lager
29.5,11.95,1.048,22.2,4.92,1789.5,0.27,SHU Lager
30.0,11.9,1.048,22.2,4.97,1793.0,0.27,SHU Lager
30.5,11.8,1.048,21.9,4.95,1790.0,0.275,SHU Lager
31.0,11.7,1.047,21.9,4.96,1796.0,0.28,SHU Lager
31.5,11.6,1.047,22.0,4.965,1799.0,0.275,SHU Lager
32.0,11.6,1.047,22.1,4.94,1798.0,0.27,SHU Lager
32.5,11.5,1.046,22.1,4.99,1801.0,0.27,SHU Lager
33.0,11.4,1.046,22.2,4.98,1806.0,0.27,SHU Lager
33.5,11.35,1.045,21.8,4.975,1800.0,0.275,SHU Lager
34.0,11.3,1.045,21.9,4.98,1807.0,0.28,SHU Lager
34.5,11.2,1.045,22.0,4.96,1810.0,0.28,SHU Lager
35.0,11.1,1.045,22.1,4.96,1804.0,0.27,SHU Lager
35.5,11.0,1.044,22.15,4.97,1809.5,0.27,SHU Lager
36.0,10.9,1.044,21.8,4.99,1796.0,0.27,SHU Lager
36.5,10.8,1.043,21.9,4.99,1804.0,0.28,SHU Lager
37.0,10.7,1.043,22.0,4.97,1806.0,0.28,SHU Lager
37.5,10.55,1.042,22.1,4.955,1806.5,0.275,SHU Lager
38.0,10.4,1.042,22.0,4.98,1801.0,0.27,SHU Lager
38.5,10.35,1.041,21.85,4.97,1798.0,0.28,SHU Lager
39.0,10.2,1.041,22.0,4.98,1803.0,0.28,SHU Lager
39.5,10.1,1.04,22.1,4.96,1801.5,0.275,SHU Lager
40.0,10.0,1.04,21.9,4.98,1790.0,0.28,SHU Lager
40.5,9.85,1.039,21.95,4.965,1796.5,0.28,SHU Lager
41.0,9.8,1.039,22.1,4.96,1794.0,0.28,SHU Lager
41.5,9.55,1.038,22.15,4.94,1790.5,0.27,SHU Lager
42.0,9.5,1.038,21.9,4.98,1785.0,0.27,SHU Lager
42.5,9.35,1.037,21.95,4.945,1791.0,0.28,SHU Lager
43.0,9.2,1.037,22.1,4.95,1792.0,0.27,SHU Lager
43.5,9.05,1.036,22.0,4.96,1778.5,0.27,SHU Lager
44.0,9.0,1.036,21.9,4.91,1783.0,0.28,SHU Lager
44.5,8.85,1.035,22.05,4.945,1787.5,0.28,SHU Lager
45.0,8.7,1.035,22.1,4.95,1786.0,0.27,SHU Lager
45.5,8.6,1.034,21.85,4.92,1777.0,0.275,SHU Lager
