hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.7,1.051,13.6,5.57,2455.0,0.45,SHU IPA
0.5,12.7,1.051,13.2,5.575,2465.0,0.435,SHU IPA
1.0,12.7,1.051,12.941,5.556,2458.118,0.436,SHU IPA
1.5,12.7,1.051,12.6,5.565,2462.03,0.444,SHU IPA
2.0,12.7,1.051,12.6,5.577,2480.294,0.416,SHU IPA
2.5,12.7,1.051,12.615,5.592,2481.697,0.402,SHU IPA
3.0,12.7,1.051,12.7,5.587,2472.882,0.404,SHU IPA
3.5,12.7,1.051,12.7,5.598,2464.0,0.388,SHU IPA
4.0,12.7,1.051,12.7,5.596,2463.353,0.386,SHU IPA
4.5,12.7,1.051,12.7,5.585,2463.0,0.39,SHU IPA
5.0,12.635,1.051,12.765,5.586,2464.941,0.384,SHU IPA
5.5,12.6,1.051,12.8,5.595,2464.697,0.382,SHU IPA
6.0,12.6,1.051,12.735,5.564,2456.529,0.396,SHU IPA
6.5,12.6,1.051,12.7,5.578,2458.455,0.393,SHU IPA
7.0,12.6,1.051,12.765,5.596,2462.294,0.397,SHU IPA
7.5,12.6,1.051,12.7,5.605,2457.455,0.402,SHU IPA
8.0,12.6,1.051,12.7,5.586,2460.647,0.397,SHU IPA
8.5,12.6,1.051,12.7,5.594,2465.303,0.403,SHU IPA
9.0,12.6,1.051,12.7,5.586,2463.118,0.407,SHU IPA
9.5,12.6,1.051,12.7,5.592,2459.303,0.42,SHU IPA
10.0,12.6,1.051,12.635,5.563,2457.118,0.42,SHU IPA
10.5,12.6,1.051,12.615,5.563,2459.061,0.417,SHU IPA
11.0,12.6,1.051,12.635,5.567,2459.176,0.406,SHU IPA
11.5,12.6,1.051,12.6,5.597,2457.061,0.42,SHU IPA
12.0,12.6,1.051,12.535,5.586,2457.176,0.426,SHU IPA
12.5,12.6,1.051,12.6,5.594,2457.606,0.43,SHU IPA
13.0,12.6,1.051,12.6,5.566,2461.0,0.424,SHU IPA
13.5,12.6,1.051,12.685,5.582,2463.03,0.43,SHU IPA
14.0,12.6,1.051,12.6,5.59,2455.882,0.43,SHU IPA
14.5,12.6,1.051,12.585,5.584,2459.091,0.422,SHU IPA
15.0,12.6,1.051,12.565,5.569,2457.235,0.43,SHU IPA
15.5,12.6,1.051,12.5,5.565,2457.788,0.42,SHU IPA
16.0,12.6,1.051,12.5,5.559,2458.118,0.426,SHU IPA
16.5,12.6,1.051,12.5,5.548,2455.758,0.432,SHU IPA
17.0,12.6,1.051,12.565,5.546,2461.294,0.44,SHU IPA
17.5,12.6,1.051,12.415,5.538,2458.909,0.448,SHU IPA
18.0,12.6,1.051,12.5,5.554,2458.176,0.446,SHU IPA
18.5,12.6,1.051,12.415,5.564,2458.303,0.457,SHU IPA
19.0,12.6,1.051,12.435,5.543,2458.706,0.459,SHU IPA
19.5,12.6,1.051,12.415,5.568,2462.455,0.458,SHU IPA
20.0,12.6,1.051,12.435,5.541,2459.824,0.444,SHU IPA
20.5,12.6,1.051,12.4,5.565,2462.697,0.465,SHU IPA
21.0,12.6,1.051,12.4,5.527,2464.235,0.44,SHU IPA
21.5,12.6,1.051,12.4,5.554,2463.394,0.46,SHU IPA
22.0,12.6,1.051,12.4,5.539,2463.235,0.466,SHU IPA
22.5,12.6,1.051,12.4,5.542,2461.848,0.482,SHU IPA
23.0,12.6,1.051,12.4,5.506,2464.882,0.464,SHU IPA
23.5,12.6,1.051,12.315,5.523,2465.758,0.485,SHU IPA
24.0,12.6,1.051,12.4,5.54,2468.059,0.466,SHU IPA
24.5,12.6,1.051,12.315,5.538,2462.758,0.492,SHU IPA
25.0,12.6,1.051,12.335,5.504,2463.118,0.487,SHU IPA
25.5,12.6,1.051,12.4,5.5,2469.697,0.49,SHU IPA
26.0,12.6,1.051,12.335,5.5,2469.294,0.496,SHU IPA
26.5,12.6,1.051,12.385,5.495,2471.091,0.507,SHU IPA
27.0,12.6,1.051,12.365,5.501,2466.647,0.509,SHU IPA
27.5,12.6,1.051,12.3,5.492,2467.697,0.525,SHU IPA
28.0,12.6,1.051,12.365,5.474,2468.588,0.513,SHU IPA
28.5,12.6,1.051,12.3,5.482,2464.364,0.535,SHU IPA
29.0,12.6,1.051,12.3,5.464,2469.412,0.529,SHU IPA
29.5,12.6,1.051,12.315,5.446,2472.758,0.523,SHU IPA
30.0,12.6,1.051,12.335,5.448,2471.176,0.534,SHU IPA
30.5,12.6,1.051,12.3,5.468,2473.939,0.552,SHU IPA
31.0,12.6,1.051,12.3,5.447,2471.882,0.554,SHU IPA
31.5,12.6,1.051,12.385,5.46,2473.394,0.57,SHU IPA
32.0,12.6,1.051,12.3,5.428,2477.765,0.576,SHU IPA
32.5,12.6,1.051,12.3,5.425,2472.212,0.557,SHU IPA
33.0,12.6,1.051,12.3,5.413,2475.118,0.572,SHU IPA
33.5,12.6,1.051,12.315,5.424,2479.061,0.594,SHU IPA
34.0,12.6,1.051,12.335,5.416,2481.118,0.573,SHU IPA
34.5,12.6,1.051,12.3,5.43,2484.242,0.575,SHU IPA
35.0,12.6,1.051,12.235,5.398,2480.0,0.6,SHU IPA
35.5,12.6,1.051,12.215,5.397,2481.515,0.596,SHU IPA
36.0,12.6,1.051,12.235,5.374,2487.412,0.643,SHU IPA
36.5,12.6,1.051,12.3,5.385,2494.242,0.637,SHU IPA
37.0,12.6,1.051,12.3,5.379,2490.647,0.652,SHU IPA
37.5,12.6,1.051,12.285,5.373,2495.636,0.636,SHU IPA
38.0,12.6,1.051,12.265,5.371,2493.176,0.651,SHU IPA
38.5,12.6,1.051,12.215,5.37,2489.303,0.681,SHU IPA
39.0,12.6,1.051,12.3,5.364,2491.647,0.662,SHU IPA
39.5,12.6,1.051,12.215,5.336,2492.515,0.665,SHU IPA
40.0,12.6,1.051,12.235,5.338,2501.0,0.659,SHU IPA
40.5,12.6,1.051,12.285,5.323,2504.545,0.653,SHU IPA
41.0,12.6,1.051,12.2,5.321,2502.0,0.664,SHU IPA
41.5,12.6,1.051,12.215,5.342,2500.152,0.648,SHU IPA
42.0,12.6,1.051,12.235,5.344,2499.059,0.679,SHU IPA
42.5,12.6,1.051,12.2,5.34,2503.394,0.687,SHU IPA
43.0,12.6,1.051,12.2,5.308,2498.059,0.651,SHU IPA
43.5,12.6,1.051,12.285,5.322,2503.636,0.655,SHU IPA
44.0,12.6,1.051,12.265,5.324,2504.412,0.667,SHU IPA
44.5,12.6,1.051,12.2,5.327,2502.909,0.727,SHU IPA
