hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,11.8,1.048,15.1,5.72,2257.0,1.22,Mixed-Culture 50
0.5,11.9,1.048,14.7,5.72,2264.0,1.21,Mixed-Culture 50
1.0,11.9,1.048,14.5,5.72,2267.0,1.19,Mixed-Culture 50
1.5,11.9,1.048,14.3,5.72,2262.0,1.18,Mixed-Culture 50
2.0,11.9,1.048,14.3,5.72,2258.0,1.12,Mixed-Culture 50
2.5,11.9,1.048,14.1,5.72,2261.0,1.12,Mixed-Culture 50
3.0,11.9,1.048,14.1,5.72,2259.0,1.07,Mixed-Culture 50
3.5,11.9,1.048,14.0,5.72,2258.0,1.02,Mixed-Culture 50
4.0,11.9,1.048,13.8,5.72,2261.0,1.02,Mixed-Culture 50
4.5,11.9,1.048,13.8,5.72,2255.0,1.03,Mixed-Culture 50
5.0,11.9,1.048,13.6,5.72,2260.0,1.02,Mixed-Culture 50
5.5,11.9,1.048,13.6,5.72,2257.118,1.009,Mixed-Culture 50
6.0,11.9,1.048,13.5,5.72,2257.588,1.013,Mixed-Culture 50
6.5,11.9,1.048,13.4,5.72,2258.706,0.948,Mixed-Culture 50
7.0,11.9,1.048,13.3,5.72,2259.882,0.96,Mixed-Culture 50
7.5,11.9,1.048,13.2,5.71,2260.294,0.909,Mixed-Culture 50
8.0,11.9,1.048,13.1,5.71,2262.412,0.86,Mixed-Culture 50
8.5,11.9,1.048,13.1,5.71,2258.294,0.85,Mixed-Culture 50
9.0,11.9,1.048,13.1,5.71,2258.0,0.795,Mixed-Culture 50
9.5,11.9,1.048,12.9,5.7,2260.471,0.753,Mixed-Culture 50
10.0,11.9,1.048,12.829,5.7,2261.118,0.703,Mixed-Culture 50
10.5,11.9,1.048,12.8,5.693,2261.412,0.65,Mixed-Culture 50
11.0,11.9,1.048,12.629,5.69,2263.118,0.613,Mixed-Culture 50
11.5,11.9,1.048,12.6,5.69,2261.0,0.583,Mixed-Culture 50
12.0,11.9,1.048,12.6,5.683,2262.118,0.553,Mixed-Culture 50
