hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.0,1.048,25.6,5.2,2459.0,1.04,SHU IPA
0.5,12.0,1.048,22.759,5.22,2446.0,0.357,SHU IPA
1.0,12.123,1.049,22.562,5.214,2447.538,0.311,SHU IPA
1.5,12.2,1.049,22.512,5.21,2436.529,0.251,SHU IPA
2.0,12.242,1.049,22.3,5.203,2440.588,0.247,SHU IPA
2.5,12.3,1.05,22.171,5.21,2440.176,0.224,SHU IPA
3.0,12.3,1.05,22.1,5.2,2436.882,0.197,SHU IPA
3.5,12.3,1.05,22.1,5.2,2436.118,0.19,SHU IPA
4.0,12.3,1.05,22.1,5.2,2435.176,0.187,SHU IPA
4.5,12.3,1.05,22.1,5.19,2438.0,0.18,SHU IPA
5.0,12.3,1.05,22.1,5.19,2435.176,0.167,SHU IPA
5.5,12.3,1.05,22.1,5.19,2436.176,0.147,SHU IPA
6.0,12.258,1.05,22.1,5.187,2438.118,0.137,SHU IPA
6.5,12.2,1.049,22.1,5.18,2438.824,0.13,SHU IPA
7.0,12.242,1.049,22.1,5.17,2437.0,0.12,SHU IPA
7.5,12.3,1.05,22.1,5.17,2438.176,0.12,SHU IPA
8.0,12.3,1.05,22.1,5.167,2438.0,0.12,SHU IPA
8.5,12.3,1.05,22.1,5.16,2441.824,0.12,SHU IPA
9.0,12.3,1.05,22.1,5.16,2443.294,0.117,SHU IPA
9.5,12.3,1.05,22.129,5.15,2440.118,0.12,SHU IPA
10.0,12.3,1.05,22.1,5.14,2441.294,0.117,SHU IPA
10.5,12.3,1.05,22.1,5.14,2442.294,0.11,SHU IPA
11.0,12.3,1.05,22.1,5.13,2443.294,0.1,SHU IPA
11.5,12.258,1.05,22.1,5.13,2444.294,0.09,SHU IPA
12.0,12.2,1.049,22.129,5.12,2445.118,0.07,SHU IPA
12.5,12.2,1.049,22.2,5.117,2444.0,0.07,SHU IPA
13.0,12.2,1.049,22.2,5.11,2445.0,0.067,SHU IPA
13.5,12.2,1.049,22.229,5.103,2446.118,0.06,SHU IPA
14.0,12.2,1.049,22.2,5.1,2449.0,0.06,SHU IPA
14.5,12.2,1.049,22.2,5.1,2451.294,0.06,SHU IPA
15.0,12.2,1.049,22.271,5.087,2452.176,0.05,SHU IPA
15.5,12.2,1.049,22.2,5.08,2457.0,0.05,SHU IPA
16.0,12.2,1.049,22.1,5.07,2463.706,0.05,SHU IPA
16.5,12.2,1.049,22.0,5.057,2324.706,1.411,SHU IPA
17.0,12.2,1.049,21.9,5.037,2474.118,0.12,SHU IPA
17.5,12.2,1.049,21.829,5.017,2490.118,0.089,SHU IPA
18.0,12.2,1.049,21.8,4.987,2498.471,0.05,SHU IPA
18.5,12.2,1.049,21.771,4.95,2510.059,0.05,SHU IPA
19.0,12.2,1.049,21.6,4.927,2523.882,0.05,SHU IPA
19.5,12.2,1.049,21.6,4.897,2532.588,0.05,SHU IPA
20.0,12.158,1.049,21.6,4.87,2543.588,0.05,SHU IPA
