hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,11.9,1.048,20.3,Mixed-Culture 50
0.5,11.916,1.048,20.295,Mixed-Culture 50
1.0,11.933,1.048,20.289,Mixed-Culture 50
1.5,11.949,1.048,20.284,Mixed-Culture 50
2.0,11.965,1.048,20.278,Mixed-Culture 50
2.5,11.982,1.048,20.273,Mixed-Culture 50
3.0,11.998,1.048,20.267,Mixed-Culture 50
3.5,12.015,1.048,20.262,Mixed-Culture 50
4.0,12.031,1.048,20.256,Mixed-Culture 50
4.5,12.047,1.048,20.251,Mixed-Culture 50
5.0,12.064,1.049,20.245,Mixed-Culture 50
5.5,12.08,1.049,20.24,Mixed-Culture 50
6.0,12.096,1.049,20.235,Mixed-Culture 50
6.5,12.113,1.049,20.229,Mixed-Culture 50
7.0,12.129,1.049,20.224,Mixed-Culture 50
7.5,12.145,1.049,20.218,Mixed-Culture 50
8.0,12.162,1.049,20.213,Mixed-Culture 50
8.5,12.178,1.049,20.207,Mixed-Culture 50
9.0,12.194,1.049,20.202,Mixed-Culture 50
9.5,12.167,1.049,20.181,Mixed-Culture 50
10.0,12.117,1.049,20.152,Mixed-Culture 50
10.5,12.068,1.048,20.123,Mixed-Culture 50
11.0,12.018,1.048,20.094,Mixed-Culture 50
11.5,11.968,1.048,20.065,Mixed-Culture 50
12.0,11.918,1.048,20.036,Mixed-Culture 50
12.5,11.868,1.048,20.007,Mixed-Culture 50
13.0,11.819,1.047,19.978,Mixed-Culture 50
13.5,11.769,1.047,19.948,Mixed-Culture 50
14.0,11.719,1.047,19.919,Mixed-Culture 50
14.5,11.669,1.047,19.89,Mixed-Culture 50
15.0,11.619,1.047,19.861,Mixed-Culture 50
15.5,11.57,1.046,19.832,Mixed-Culture 50
16.0,11.52,1.046,19.803,Mixed-Culture 50
16.5,11.47,1.046,19.774,Mixed-Culture 50
17.0,11.42,1.046,19.745,Mixed-Culture 50
17.5,11.37,1.046,19.716,Mixed-Culture 50
18.0,11.321,1.045,19.687,Mixed-Culture 50
18.5,11.271,1.045,19.658,Mixed-Culture 50
19.0,11.221,1.045,19.629,Mixed-Culture 50
19.5,11.171,1.045,19.6,Mixed-Culture 50
20.0,11.121,1.045,19.571,Mixed-Culture 50
20.5,11.072,1.044,19.542,Mixed-Culture 50
21.0,11.022,1.044,19.513,Mixed-Culture 50
21.5,10.99,1.044,19.512,Mixed-Culture 50
22.0,10.973,1.044,19.532,Mixed-Culture 50
22.5,10.956,1.044,19.553,Mixed-Culture 50
23.0,10.938,1.044,19.574,Mixed-Culture 50
23.5,10.921,1.044,19.595,Mixed-Culture 50
24.0,10.904,1.044,19.616,Mixed-Culture 50
24.5,10.886,1.044,19.637,Mixed-Culture 50
25.0,10.869,1.043,19.657,Mixed-Culture 50
25.5,10.851,1.043,19.678,Mixed-Culture 50
26.0,10.834,1.043,19.699,Mixed-Culture 50
26.5,10.817,1.043,19.72,Mixed-Culture 50
27.0,10.799,1.043,19.741,Mixed-Culture 50
27.5,10.782,1.043,19.761,Mixed-Culture 50
28.0,10.765,1.043,19.782,Mixed-Culture 50
28.5,10.747,1.043,19.803,Mixed-Culture 50
29.0,10.73,1.043,19.824,Mixed-Culture 50
29.5,10.713,1.043,19.845,Mixed-Culture 50
30.0,10.695,1.043,19.866,Mixed-Culture 50
30.5,10.678,1.043,19.886,Mixed-Culture 50
31.0,10.661,1.043,19.907,Mixed-Culture 50
31.5,10.643,1.043,19.928,Mixed-Culture 50
32.0,10.626,1.043,19.949,Mixed-Culture 50
32.5,10.609,1.042,19.97,Mixed-Culture 50
33.0,10.591,1.042,19.99,Mixed-Culture 50
33.5,10.574,1.042,20.011,Mixed-Culture 50
34.0,10.557,1.042,20.032,Mixed-Culture 50
34.5,10.539,1.042,20.053,Mixed-Culture 50
35.0,10.522,1.042,20.074,Mixed-Culture 50
35.5,10.505,1.042,20.095,Mixed-Culture 50
36.0,10.428,1.042,20.118,Mixed-Culture 50
36.5,10.331,1.041,20.142,Mixed-Culture 50
37.0,10.233,1.041,20.167,Mixed-Culture 50
37.5,10.136,1.041,20.191,Mixed-Culture 50
38.0,10.038,1.04,20.215,Mixed-Culture 50
38.5,9.941,1.04,20.24,Mixed-Culture 50
39.0,9.844,1.039,20.264,Mixed-Culture 50
39.5,9.746,1.039,20.288,Mixed-Culture 50
40.0,9.649,1.039,20.313,Mixed-Culture 50
40.5,9.552,1.038,20.337,Mixed-Culture 50
41.0,9.454,1.038,20.361,Mixed-Culture 50
41.5,9.357,1.037,20.386,Mixed-Culture 50
42.0,9.259,1.037,20.41,Mixed-Culture 50
42.5,9.162,1.037,20.434,Mixed-Culture 50
43.0,9.065,1.036,20.459,Mixed-Culture 50
43.5,8.967,1.036,20.483,Mixed-Culture 50
44.0,8.87,1.035,20.507,Mixed-Culture 50
44.5,8.773,1.035,20.532,Mixed-Culture 50
45.0,8.675,1.035,20.556,Mixed-Culture 50
45.5,8.578,1.034,20.581,Mixed-Culture 50
46.0,8.488,1.034,20.6,Mixed-Culture 50
46.5,8.426,1.034,20.6,Mixed-Culture 50
47.0,8.365,1.033,20.6,Mixed-Culture 50
47.5,8.304,1.033,20.6,Mixed-Culture 50
48.0,8.242,1.033,20.6,Mixed-Culture 50
48.5,8.181,1.033,20.6,Mixed-Culture 50
49.0,8.119,1.032,20.6,Mixed-Culture 50
49.5,8.058,1.032,20.6,Mixed-Culture 50
50.0,7.996,1.032,20.6,Mixed-Culture 50
50.5,7.935,1.032,20.6,Mixed-Culture 50
51.0,7.874,1.031,20.6,Mixed-Culture 50
51.5,7.812,1.031,20.6,Mixed-Culture 50
52.0,7.751,1.031,20.6,Mixed-Culture 50
52.5,7.689,1.031,20.6,Mixed-Culture 50
53.0,7.628,1.03,20.6,Mixed-Culture 50
53.5,7.567,1.03,20.6,Mixed-Culture 50
54.0,7.505,1.03,20.6,Mixed-Culture 50
54.5,7.444,1.029,20.6,Mixed-Culture 50
55.0,7.382,1.029,20.6,Mixed-Culture 50
55.5,7.321,1.029,20.6,Mixed-Culture 50
56.0,7.26,1.029,20.6,Mixed-Culture 50
56.5,7.198,1.028,20.6,Mixed-Culture 50
57.0,7.137,1.028,20.6,Mixed-Culture 50
57.5,7.08,1.028,20.599,Mixed-Culture 50
58.0,7.028,1.028,20.595,Mixed-Culture 50
58.5,6.977,1.028,20.592,Mixed-Culture 50
59.0,6.926,1.027,20.588,Mixed-Culture 50
59.5,6.875,1.027,20.585,Mixed-Culture 50
60.0,6.824,1.027,20.582,Mixed-Culture 50
60.5,6.772,1.027,20.578,Mixed-Culture 50
61.0,6.721,1.026,20.575,Mixed-Culture 50
61.5,6.67,1.026,20.571,Mixed-Culture 50
62.0,6.619,1.026,20.568,Mixed-Culture 50
62.5,6.568,1.026,20.565,Mixed-Culture 50
63.0,6.516,1.026,20.561,Mixed-Culture 50
63.5,6.465,1.025,20.558,Mixed-Culture 50
64.0,6.414,1.025,20.554,Mixed-Culture 50
64.5,6.363,1.025,20.551,Mixed-Culture 50
65.0,6.312,1.025,20.547,Mixed-Culture 50
65.5,6.26,1.025,20.544,Mixed-Culture 50
66.0,6.209,1.024,20.541,Mixed-Culture 50
66.5,6.158,1.024,20.537,Mixed-Culture 50
67.0,6.107,1.024,20.534,Mixed-Culture 50
67.5,6.056,1.024,20.53,Mixed-Culture 50
68.0,6.004,1.024,20.527,Mixed-Culture 50
68.5,5.953,1.023,20.524,Mixed-Culture 50
69.0,5.902,1.023,20.52,Mixed-Culture 50
69.5,5.851,1.023,20.517,Mixed-Culture 50
70.0,5.8,1.023,20.513,Mixed-Culture 50
70.5,5.748,1.023,20.51,Mixed-Culture 50
71.0,5.697,1.022,20.506,Mixed-Culture 50
71.5,5.646,1.022,20.503,Mixed-Culture 50
72.0,5.6,1.022,20.495,Mixed-Culture 50
72.5,5.6,1.022,20.44,Mixed-Culture 50
73.0,5.6,1.022,20.385,Mixed-Culture 50
73.5,5.6,1.022,20.331,Mixed-Culture 50
74.0,5.6,1.022,20.276,Mixed-Culture 50
74.5,5.6,1.022,20.222,Mixed-Culture 50
75.0,5.6,1.022,20.167,Mixed-Culture 50
75.5,5.6,1.022,20.113,Mixed-Culture 50
76.0,5.6,1.022,20.058,Mixed-Culture 50
76.5,5.6,1.022,20.004,Mixed-Culture 50
77.0,5.6,1.022,19.949,Mixed-Culture 50
77.5,5.6,1.022,19.895,Mixed-Culture 50
78.0,5.6,1.022,19.84,Mixed-Culture 50
78.5,5.6,1.022,19.785,Mixed-Culture 50
79.0,5.6,1.022,19.731,Mixed-Culture 50
79.5,5.6,1.022,19.676,Mixed-Culture 50
80.0,5.6,1.022,19.622,Mixed-Culture 50
80.5,5.578,1.022,19.598,Mixed-Culture 50
81.0,5.543,1.022,19.594,Mixed-Culture 50
81.5,5.507,1.022,19.591,Mixed-Culture 50
82.0,5.471,1.021,19.587,Mixed-Culture 50
82.5,5.435,1.021,19.584,Mixed-Culture 50
83.0,5.399,1.021,19.58,Mixed-Culture 50
83.5,5.363,1.021,19.576,Mixed-Culture 50
84.0,5.327,1.021,19.573,Mixed-Culture 50
84.5,5.292,1.021,19.569,Mixed-Culture 50
85.0,5.256,1.021,19.566,Mixed-Culture 50
85.5,5.22,1.02,19.562,Mixed-Culture 50
86.0,5.184,1.02,19.558,Mixed-Culture 50
86.5,5.148,1.02,19.555,Mixed-Culture 50
87.0,5.112,1.02,19.551,Mixed-Culture 50
87.5,5.076,1.02,19.548,Mixed-Culture 50
88.0,5.04,1.02,19.544,Mixed-Culture 50
88.5,5.005,1.02,19.54,Mixed-Culture 50
89.0,4.969,1.019,19.537,Mixed-Culture 50
89.5,4.933,1.019,19.533,Mixed-Culture 50
90.0,4.897,1.019,19.53,Mixed-Culture 50
90.5,4.861,1.019,19.526,Mixed-Culture 50
91.0,4.825,1.019,19.523,Mixed-Culture 50
91.5,4.789,1.019,19.519,Mixed-Culture 50
92.0,4.754,1.019,19.515,Mixed-Culture 50
92.5,4.718,1.018,19.512,Mixed-Culture 50
93.0,4.682,1.018,19.508,Mixed-Culture 50
93.5,4.646,1.018,19.505,Mixed-Culture 50
94.0,4.61,1.018,19.501,Mixed-Culture 50
94.5,4.585,1.018,19.485,Mixed-Culture 50
95.0,4.564,1.018,19.464,Mixed-Culture 50
95.5,4.543,1.018,19.443,Mixed-Culture 50
96.0,4.522,1.018,19.422,Mixed-Culture 50
96.5,4.501,1.018,19.401,Mixed-Culture 50
97.0,4.48,1.018,19.38,Mixed-Culture 50
97.5,4.459,1.017,19.359,Mixed-Culture 50
98.0,4.438,1.017,19.338,Mixed-Culture 50
98.5,4.417,1.017,19.317,Mixed-Culture 50
99.0,4.396,1.017,19.296,Mixed-Culture 50
99.5,4.375,1.017,19.275,Mixed-Culture 50
100.0,4.354,1.017,19.254,Mixed-Culture 50
100.5,4.333,1.017,19.233,Mixed-Culture 50
101.0,4.312,1.017,19.212,Mixed-Culture 50
101.5,4.291,1.017,19.191,Mixed-Culture 50
102.0,4.27,1.017,19.17,Mixed-Culture 50
102.5,4.249,1.017,19.149,Mixed-Culture 50
103.0,4.228,1.017,19.128,Mixed-Culture 50
103.5,4.207,1.016,19.107,Mixed-Culture 50
104.0,4.186,1.016,19.086,Mixed-Culture 50
104.5,4.165,1.016,19.065,Mixed-Culture 50
105.0,4.144,1.016,19.044,Mixed-Culture 50
105.5,4.123,1.016,19.023,Mixed-Culture 50
106.0,4.103,1.016,19.003,Mixed-Culture 50
106.5,4.089,1.016,19.007,Mixed-Culture 50
107.0,4.077,1.016,19.015,Mixed-Culture 50
107.5,4.065,1.016,19.024,Mixed-Culture 50
108.0,4.052,1.016,19.032,Mixed-Culture 50
108.5,4.04,1.016,19.04,Mixed-Culture 50
109.0,4.028,1.016,19.048,Mixed-Culture 50
109.5,4.015,1.016,19.057,Mixed-Culture 50
110.0,4.003,1.016,19.065,Mixed-Culture 50
110.5,3.991,1.016,19.073,Mixed-Culture 50
111.0,3.978,1.016,19.081,Mixed-Culture 50
111.5,3.966,1.016,19.089,Mixed-Culture 50
112.0,3.954,1.016,19.098,Mixed-Culture 50
112.5,3.941,1.015,19.106,Mixed-Culture 50
113.0,3.929,1.015,19.114,Mixed-Culture 50
113.5,3.917,1.015,19.122,Mixed-Culture 50
114.0,3.904,1.015,19.13,Mixed-Culture 50
114.5,3.892,1.015,19.139,Mixed-Culture 50
115.0,3.88,1.015,19.147,Mixed-Culture 50
115.5,3.867,1.015,19.155,Mixed-Culture 50
116.0,3.855,1.015,19.163,Mixed-Culture 50
116.5,3.843,1.015,19.172,Mixed-Culture 50
117.0,3.83,1.015,19.18,Mixed-Culture 50
117.5,3.818,1.015,19.188,Mixed-Culture 50
118.0,3.806,1.015,19.196,Mixed-Culture 50
118.5,3.796,1.015,19.196,Mixed-Culture 50
119.0,3.788,1.015,19.188,Mixed-Culture 50
119.5,3.781,1.015,19.181,Mixed-Culture 50
120.0,3.773,1.015,19.173,Mixed-Culture 50
120.5,3.765,1.015,19.165,Mixed-Culture 50
121.0,3.758,1.015,19.158,Mixed-Culture 50
121.5,3.75,1.015,19.15,Mixed-Culture 50
122.0,3.742,1.015,19.142,Mixed-Culture 50
122.5,3.735,1.015,19.135,Mixed-Culture 50
123.0,3.727,1.015,19.127,Mixed-Culture 50
123.5,3.719,1.015,19.119,Mixed-Culture 50
124.0,3.712,1.015,19.112,Mixed-Culture 50
124.5,3.704,1.015,19.104,Mixed-Culture 50
125.0,3.696,1.014,19.096,Mixed-Culture 50
125.5,3.689,1.014,19.089,Mixed-Culture 50
126.0,3.681,1.014,19.081,Mixed-Culture 50
126.5,3.674,1.014,19.074,Mixed-Culture 50
127.0,3.666,1.014,19.066,Mixed-Culture 50
127.5,3.658,1.014,19.058,Mixed-Culture 50
128.0,3.651,1.014,19.051,Mixed-Culture 50
128.5,3.643,1.014,19.043,Mixed-Culture 50
129.0,3.635,1.014,19.035,Mixed-Culture 50
129.5,3.628,1.014,19.028,Mixed-Culture 50
130.0,3.62,1.014,19.02,Mixed-Culture 50
130.5,3.612,1.014,19.012,Mixed-Culture 50
131.0,3.605,1.014,19.005,Mixed-Culture 50
131.5,3.593,1.014,18.854,Mixed-Culture 50
132.0,3.575,1.014,18.47,Mixed-Culture 50
132.5,3.556,1.014,18.086,Mixed-Culture 50
133.0,3.538,1.014,17.702,Mixed-Culture 50
133.5,3.519,1.014,17.318,Mixed-Culture 50
134.0,3.501,1.014,16.934,Mixed-Culture 50
134.5,3.482,1.014,16.55,Mixed-Culture 50
