hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
43.5,5.1,1.02,19.761,4.216,2246.212,0.788,SHU IPA
44.0,5.0,1.02,19.8,4.165,2258.091,0.789,SHU IPA
44.5,5.0,1.02,19.861,4.18,2251.727,0.786,SHU IPA
45.0,5.0,1.02,19.682,4.178,2250.364,0.773,SHU IPA
45.5,4.939,1.019,19.561,4.19,2245.515,0.782,SHU IPA
46.0,4.891,1.019,19.6,4.205,2234.727,0.781,SHU IPA
46.5,4.8,1.019,19.6,4.186,2235.03,0.76,SHU IPA
47.0,4.7,1.018,19.609,4.2,2199.909,0.751,SHU IPA
47.5,4.7,1.018,19.7,4.206,2234.455,0.76,SHU IPA
48.0,4.6,1.018,19.7,4.164,2225.182,0.935,SHU IPA
48.5,4.6,1.018,19.7,4.2,2194.576,1.096,SHU IPA
49.0,4.591,1.018,19.7,4.19,2185.545,1.035,SHU IPA
49.5,4.5,1.018,19.761,4.166,2235.848,1.056,SHU IPA
50.0,4.4,1.017,19.8,4.197,2223.0,1.017,SHU IPA
50.5,4.4,1.017,19.861,4.158,2216.03,1.014,SHU IPA
51.0,4.391,1.017,19.591,4.152,2169.636,0.991,SHU IPA
51.5,4.3,1.017,19.561,4.176,2206.606,0.982,SHU IPA
52.0,4.2,1.016,19.6,4.179,2222.273,1.005,SHU IPA
52.5,4.2,1.016,19.6,4.164,2185.0,0.99,SHU IPA
53.0,4.191,1.016,19.6,4.173,2184.182,0.923,SHU IPA
53.5,4.1,1.016,19.661,4.2,2188.727,0.932,SHU IPA
54.0,4.109,1.016,19.7,4.144,2155.727,0.953,SHU IPA
54.5,4.139,1.016,19.7,4.174,2174.212,0.974,SHU IPA
55.0,4.0,1.016,19.7,4.196,2181.0,0.933,SHU IPA
55.5,3.939,1.015,19.7,4.184,2184.333,0.966,SHU IPA
56.0,3.9,1.015,19.709,4.149,2198.091,0.95,SHU IPA
56.5,3.9,1.015,19.8,4.14,2185.97,0.962,SHU IPA
57.0,3.8,1.015,19.8,4.15,2216.636,0.918,SHU IPA
57.5,3.8,1.015,19.8,4.144,2180.273,0.894,SHU IPA
58.0,3.809,1.015,19.809,4.191,2198.182,0.904,SHU IPA
58.5,3.839,1.015,19.9,4.188,2190.303,0.904,SHU IPA
59.0,3.709,1.014,19.9,4.196,2188.0,0.924,SHU IPA
59.5,3.739,1.014,19.9,4.193,2164.364,0.969,SHU IPA
60.0,3.7,1.014,19.6,4.186,2185.545,0.962,SHU IPA
60.5,3.7,1.014,19.6,4.162,2163.121,0.898,SHU IPA
61.0,3.6,1.014,19.6,4.2,2197.455,0.922,SHU IPA
61.5,3.6,1.014,19.6,4.182,2142.606,0.892,SHU IPA
62.0,3.591,1.014,19.6,4.15,2177.455,0.9,SHU IPA
62.5,3.561,1.014,19.6,4.18,2159.576,0.894,SHU IPA
63.0,3.491,1.014,19.6,4.169,2135.909,0.849,SHU IPA
63.5,3.461,1.014,19.6,4.166,2156.212,0.84,SHU IPA
64.0,3.5,1.014,19.6,4.199,2175.909,0.843,SHU IPA
64.5,3.439,1.013,19.6,4.178,2146.212,0.912,SHU IPA
65.0,3.4,1.013,19.6,4.155,2177.818,0.894,SHU IPA
65.5,3.339,1.013,19.6,4.176,2137.212,0.9,SHU IPA
66.0,3.391,1.013,19.6,4.187,2116.0,0.857,SHU IPA
66.5,3.3,1.013,19.6,4.184,2170.545,0.83,SHU IPA
67.0,3.209,1.013,19.609,4.179,2146.455,0.899,SHU IPA
67.5,3.3,1.013,19.639,4.164,2128.879,0.872,SHU IPA
68.0,3.3,1.013,19.6,4.172,2099.455,0.832,SHU IPA
68.5,3.239,1.013,19.6,4.172,2121.273,0.838,SHU IPA
69.0,3.191,1.013,19.6,4.154,2129.636,0.861,SHU IPA
69.5,3.161,1.013,19.661,4.172,2122.364,0.834,SHU IPA
70.0,3.191,1.013,19.691,4.178,2120.182,0.803,SHU IPA
70.5,3.1,1.012,19.6,4.184,2187.455,0.854,SHU IPA
71.0,2.991,1.012,19.6,4.189,2121.364,0.815,SHU IPA
71.5,2.9,1.011,19.6,4.192,2161.364,0.852,SHU IPA
72.0,2.9,1.011,19.7,4.155,2166.545,0.859,SHU IPA
72.5,2.839,1.011,19.7,4.21,2122.606,0.844,SHU IPA
73.0,2.8,1.011,19.7,4.195,2160.909,0.863,SHU IPA
73.5,2.8,1.011,19.7,4.174,2148.485,0.854,SHU IPA
74.0,2.8,1.011,19.7,4.154,2112.636,0.872,SHU IPA
74.5,2.8,1.011,19.7,4.172,2147.182,0.854,SHU IPA
75.0,2.7,1.011,19.7,4.189,2175.455,0.819,SHU IPA
75.5,2.7,1.011,19.7,4.198,2113.636,0.834,SHU IPA
76.0,2.7,1.011,19.7,4.196,2157.818,0.849,SHU IPA
76.5,2.7,1.011,19.7,4.184,2102.97,0.846,SHU IPA
77.0,2.691,1.011,19.7,4.173,2146.455,0.82,SHU IPA
77.5,2.6,1.01,19.7,4.176,2139.485,0.844,SHU IPA
78.0,2.6,1.01,19.7,4.174,2139.727,0.834,SHU IPA
78.5,2.6,1.01,19.7,4.21,2084.273,0.834,SHU IPA
79.0,2.6,1.01,19.7,4.165,2137.182,0.833,SHU IPA
79.5,2.6,1.01,19.7,4.18,2121.727,0.854,SHU IPA
80.0,2.6,1.01,19.7,4.185,2125.545,0.854,SHU IPA
80.5,2.539,1.01,19.7,4.188,2121.0,0.86,SHU IPA
81.0,2.5,1.01,19.7,4.2,2111.545,0.859,SHU IPA
81.5,2.5,1.01,19.7,4.194,2119.121,0.826,SHU IPA
82.0,2.5,1.01,19.691,4.17,2154.091,0.845,SHU IPA
82.5,2.5,1.01,19.6,4.2,2141.97,0.818,SHU IPA
83.0,2.5,1.01,19.6,4.17,2145.091,0.827,SHU IPA
83.5,2.5,1.01,19.6,4.194,2120.545,0.836,SHU IPA
84.0,2.4,1.009,19.6,4.197,2124.273,0.819,SHU IPA
84.5,2.4,1.009,19.6,4.182,2107.909,0.834,SHU IPA
85.0,2.4,1.009,19.6,4.188,2095.636,0.852,SHU IPA
85.5,2.4,1.009,19.6,4.194,2098.97,0.852,SHU IPA
86.0,2.409,1.009,19.6,4.216,2096.182,0.839,SHU IPA
86.5,2.5,1.01,19.6,4.18,2098.606,0.848,SHU IPA
87.0,2.5,1.01,19.6,4.21,2104.182,0.849,SHU IPA
87.5,2.5,1.01,19.6,4.21,2122.364,0.822,SHU IPA
88.0,2.5,1.01,19.5,4.181,2123.182,0.829,SHU IPA
88.5,2.439,1.009,19.5,4.196,2134.091,0.85,SHU IPA
89.0,2.4,1.009,19.5,4.189,2042.182,0.85,SHU IPA
89.5,2.4,1.009,19.5,4.186,2071.879,0.862,SHU IPA
90.0,2.309,1.009,19.5,4.226,2112.455,0.813,SHU IPA
90.5,2.4,1.009,19.5,4.19,2073.667,0.858,SHU IPA
91.0,2.3,1.009,19.491,4.194,2082.818,0.874,SHU IPA
91.5,2.361,1.009,19.4,4.2,2112.515,0.804,SHU IPA
92.0,2.3,1.009,19.4,4.228,2140.545,0.803,SHU IPA
92.5,2.3,1.009,19.4,4.204,2077.818,0.848,SHU IPA
93.0,2.3,1.009,19.4,4.231,2115.636,0.861,SHU IPA
93.5,2.3,1.009,19.339,4.216,2082.909,0.828,SHU IPA
94.0,2.3,1.009,18.636,4.251,2068.545,0.783,SHU IPA
94.5,2.3,1.009,17.697,4.26,2049.455,0.804,SHU IPA
95.0,2.3,1.009,16.964,4.215,2066.909,0.774,SHU IPA
95.5,2.3,1.009,16.297,4.246,2044.788,0.852,SHU IPA
96.0,2.3,1.009,15.582,4.234,1996.727,0.973,SHU IPA
96.5,2.3,1.009,15.339,4.276,2054.303,0.976,SHU IPA
97.0,2.3,1.009,15.2,4.29,2097.0,0.966,SHU IPA
97.5,2.3,1.009,15.2,4.26,2022.455,1.042,SHU IPA
98.0,2.3,1.009,15.2,4.288,2084.909,1.175,SHU IPA
98.5,2.3,1.009,15.2,4.252,2081.879,0.912,SHU IPA
99.0,2.3,1.009,15.2,4.24,2069.455,0.865,SHU IPA
99.5,2.3,1.009,15.139,4.24,2067.333,0.884,SHU IPA
100.0,2.3,1.009,15.1,4.289,2044.364,0.809,SHU IPA
100.5,2.3,1.009,15.1,4.256,2050.121,0.806,SHU IPA
101.0,2.291,1.009,15.1,4.278,2042.909,0.89,SHU IPA
101.5,2.2,1.009,15.1,4.254,2088.97,0.914,SHU IPA
102.0,2.2,1.009,15.1,4.254,2031.091,0.903,SHU IPA
102.5,2.2,1.009,15.1,4.29,2088.364,0.93,SHU IPA
103.0,2.2,1.009,15.091,4.271,2022.273,0.935,SHU IPA
103.5,2.2,1.009,15.061,4.286,2076.515,0.896,SHU IPA
104.0,2.2,1.009,15.0,4.245,2148.909,0.89,SHU IPA
104.5,2.2,1.009,15.0,4.26,2061.333,0.945,SHU IPA
105.0,2.2,1.009,15.0,4.245,2126.636,0.963,SHU IPA
105.5,2.2,1.009,15.0,4.26,2069.364,0.914,SHU IPA
106.0,2.2,1.009,15.0,4.242,2132.364,0.985,SHU IPA
106.5,2.2,1.009,15.0,4.248,2067.515,0.966,SHU IPA
107.0,2.191,1.009,15.0,4.3,2145.455,0.986,SHU IPA
107.5,2.1,1.008,15.0,4.264,2161.515,0.98,SHU IPA
108.0,2.1,1.008,15.0,4.255,2141.273,1.053,SHU IPA
108.5,2.1,1.008,15.0,4.3,2143.394,1.074,SHU IPA
109.0,2.1,1.008,15.0,4.241,2132.909,1.021,SHU IPA
109.5,2.1,1.008,15.0,4.256,2139.879,1.072,SHU IPA
110.0,2.1,1.008,15.0,4.3,2137.545,1.105,SHU IPA
110.5,2.1,1.008,15.0,4.3,2134.212,1.271,SHU IPA
111.0,2.1,1.008,15.0,4.272,2127.727,1.458,SHU IPA
111.5,2.1,1.008,15.0,4.29,2136.515,1.501,SHU IPA
112.0,2.1,1.008,15.0,4.29,2138.636,1.742,SHU IPA
