hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,12.1,1.049,21.2,5.66,1853.0,0.3,Mixed-Culture 25
0.5,12.1,1.049,21.352,5.665,1858.0,0.305,Mixed-Culture 25
1.0,12.1,1.049,21.4,5.67,1857.0,0.3,Mixed-Culture 25
1.5,12.2,1.049,21.348,5.665,1857.0,0.3,Mixed-Culture 25
2.0,12.2,1.049,21.4,5.64,1857.0,0.3,Mixed-Culture 25
2.5,12.2,1.049,21.348,5.63,1859.03,0.3,Mixed-Culture 25
3.0,12.2,1.049,21.4,5.61,1860.0,0.3,Mixed-Culture 25
3.5,12.2,1.049,21.352,5.575,1859.545,0.295,Mixed-Culture 25
4.0,12.2,1.049,21.3,5.57,1862.0,0.3,Mixed-Culture 25
4.5,12.2,1.049,21.3,5.555,1861.515,0.29,Mixed-Culture 25
5.0,12.1,1.049,21.3,5.53,1862.0,0.29,Mixed-Culture 25
5.5,12.1,1.049,21.3,5.5,1864.545,0.29,Mixed-Culture 25
6.0,12.1,1.049,21.3,5.47,1865.0,0.29,Mixed-Culture 25
6.5,12.1,1.049,21.3,5.449,1870.545,0.29,Mixed-Culture 25
7.0,12.1,1.049,21.3,5.43,1872.0,0.29,Mixed-Culture 25
7.5,12.1,1.049,21.4,5.404,1876.03,0.29,Mixed-Culture 25
8.0,12.1,1.049,21.4,5.39,1878.0,0.29,Mixed-Culture 25
8.5,12.1,1.049,21.4,5.334,1881.03,0.29,Mixed-Culture 25
9.0,12.1,1.049,21.4,5.3,1883.0,0.29,Mixed-Culture 25
9.5,12.1,1.049,21.4,5.3,1886.03,0.29,Mixed-Culture 25
10.0,12.1,1.049,21.4,5.25,1886.0,0.28,Mixed-Culture 25
10.5,12.1,1.049,21.452,5.21,1891.03,0.28,Mixed-Culture 25
11.0,12.1,1.049,21.5,5.22,1894.0,0.28,Mixed-Culture 25
11.5,12.1,1.049,21.5,5.175,1901.03,0.28,Mixed-Culture 25
12.0,12.1,1.049,21.5,5.15,1905.0,0.28,Mixed-Culture 25
12.5,12.1,1.049,21.5,5.13,1908.545,0.28,Mixed-Culture 25
13.0,12.1,1.049,21.6,5.13,1910.0,0.28,Mixed-Culture 25
13.5,12.1,1.049,21.6,5.1,1915.03,0.28,Mixed-Culture 25
14.0,12.1,1.049,21.6,5.09,1920.0,0.28,Mixed-Culture 25
14.5,12.1,1.049,21.6,5.075,1922.0,0.28,Mixed-Culture 25
15.0,12.1,1.049,21.7,5.04,1924.0,0.28,Mixed-Culture 25
15.5,12.0,1.048,21.7,5.03,1925.485,0.28,Mixed-Culture 25
16.0,12.0,1.048,21.7,5.04,1929.0,0.28,Mixed-Culture 25
16.5,12.0,1.048,21.7,5.0,1927.485,0.28,Mixed-Culture 25
