hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,11.9,1.048,20.3,SHU Lager
0.5,11.916,1.048,20.284,SHU Lager
1.0,11.932,1.048,20.268,SHU Lager
1.5,11.949,1.048,20.251,SHU Lager
2.0,11.965,1.048,20.235,SHU Lager
2.5,11.981,1.048,20.219,SHU Lager
3.0,11.997,1.048,20.203,SHU Lager
3.5,12.014,1.048,20.186,SHU Lager
4.0,12.03,1.048,20.17,SHU Lager
4.5,12.046,1.048,20.154,SHU Lager
5.0,12.062,1.049,20.138,SHU Lager
5.5,12.079,1.049,20.121,SHU Lager
6.0,12.095,1.049,20.105,SHU Lager
6.5,12.111,1.049,20.089,SHU Lager
7.0,12.127,1.049,20.073,SHU Lager
7.5,12.144,1.049,20.056,SHU Lager
8.0,12.16,1.049,20.04,SHU Lager
8.5,12.176,1.049,20.024,SHU Lager
9.0,12.192,1.049,20.008,SHU Lager
9.5,12.178,1.049,19.983,SHU Lager
10.0,12.137,1.049,19.949,SHU Lager
10.5,12.095,1.049,19.916,SHU Lager
11.0,12.054,1.048,19.883,SHU Lager
11.5,12.012,1.048,19.85,SHU Lager
12.0,11.97,1.048,19.816,SHU Lager
12.5,11.929,1.048,19.783,SHU Lager
13.0,11.887,1.048,19.75,SHU Lager
13.5,11.846,1.048,19.716,SHU Lager
14.0,11.804,1.047,19.683,SHU Lager
14.5,11.762,1.047,19.65,SHU Lager
15.0,11.721,1.047,19.617,SHU Lager
15.5,11.679,1.047,19.583,SHU Lager
16.0,11.638,1.047,19.55,SHU Lager
16.5,11.596,1.047,19.517,SHU Lager
17.0,11.554,1.046,19.484,SHU Lager
17.5,11.513,1.046,19.45,SHU Lager
18.0,11.471,1.046,19.417,SHU Lager
18.5,11.43,1.046,19.384,SHU Lager
19.0,11.388,1.046,19.35,SHU Lager
19.5,11.346,1.046,19.317,SHU Lager
20.0,11.305,1.045,19.284,SHU Lager
20.5,11.263,1.045,19.251,SHU Lager
21.0,11.222,1.045,19.217,SHU Lager
21.5,11.197,1.045,19.212,SHU Lager
22.0,11.19,1.045,19.236,SHU Lager
22.5,11.183,1.045,19.26,SHU Lager
23.0,11.176,1.045,19.284,SHU Lager
23.5,11.169,1.045,19.309,SHU Lager
24.0,11.162,1.045,19.333,SHU Lager
24.5,11.155,1.045,19.357,SHU Lager
25.0,11.148,1.045,19.382,SHU Lager
25.5,11.141,1.045,19.406,SHU Lager
26.0,11.134,1.045,19.43,SHU Lager
26.5,11.127,1.045,19.454,SHU Lager
27.0,11.12,1.045,19.479,SHU Lager
27.5,11.113,1.045,19.503,SHU Lager
28.0,11.107,1.045,19.527,SHU Lager
28.5,11.1,1.044,19.551,SHU Lager
29.0,11.093,1.044,19.576,SHU Lager
29.5,11.086,1.044,19.6,SHU Lager
30.0,11.079,1.044,19.624,SHU Lager
30.5,11.072,1.044,19.649,SHU Lager
31.0,11.065,1.044,19.673,SHU Lager
31.5,11.058,1.044,19.697,SHU Lager
32.0,11.051,1.044,19.721,SHU Lager
32.5,11.044,1.044,19.746,SHU Lager
33.0,11.037,1.044,19.77,SHU Lager
33.5,11.03,1.044,19.794,SHU Lager
34.0,11.023,1.044,19.818,SHU Lager
34.5,11.016,1.044,19.843,SHU Lager
35.0,11.009,1.044,19.867,SHU Lager
35.5,11.002,1.044,19.891,SHU Lager
36.0,10.938,1.044,19.909,SHU Lager
36.5,10.84,1.043,19.924,SHU Lager
37.0,10.743,1.043,19.939,SHU Lager
37.5,10.645,1.043,19.953,SHU Lager
38.0,10.548,1.042,19.968,SHU Lager
