hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,12.9,1.052,20.2,Mixed-Culture 25
0.5,12.864,1.052,20.196,Mixed-Culture 25
1.0,12.828,1.052,20.192,Mixed-Culture 25
1.5,12.792,1.052,20.187,Mixed-Culture 25
2.0,12.756,1.051,20.183,Mixed-Culture 25
2.5,12.72,1.051,20.179,Mixed-Culture 25
3.0,12.684,1.051,20.175,Mixed-Culture 25
3.5,12.648,1.051,20.17,Mixed-Culture 25
4.0,12.612,1.051,20.166,Mixed-Culture 25
4.5,12.576,1.051,20.162,Mixed-Culture 25
5.0,12.54,1.051,20.158,Mixed-Culture 25
5.5,12.504,1.05,20.153,Mixed-Culture 25
6.0,12.468,1.05,20.149,Mixed-Culture 25
6.5,12.432,1.05,20.145,Mixed-Culture 25
7.0,12.396,1.05,20.141,Mixed-Culture 25
7.5,12.36,1.05,20.136,Mixed-Culture 25
8.0,12.324,1.05,20.132,Mixed-Culture 25
8.5,12.288,1.049,20.128,Mixed-Culture 25
9.0,12.252,1.049,20.124,Mixed-Culture 25
9.5,12.216,1.049,20.12,Mixed-Culture 25
10.0,12.18,1.049,20.115,Mixed-Culture 25
10.5,12.144,1.049,20.111,Mixed-Culture 25
11.0,12.108,1.049,20.107,Mixed-Culture 25
11.5,12.072,1.049,20.103,Mixed-Culture 25
12.0,12.036,1.048,20.098,Mixed-Culture 25
12.5,12.0,1.048,20.094,Mixed-Culture 25
13.0,11.964,1.048,20.09,Mixed-Culture 25
13.5,11.928,1.048,20.086,Mixed-Culture 25
14.0,11.892,1.048,20.081,Mixed-Culture 25
14.5,11.856,1.048,20.077,Mixed-Culture 25
15.0,11.82,1.048,20.073,Mixed-Culture 25
15.5,11.784,1.047,20.069,Mixed-Culture 25
16.0,11.748,1.047,20.065,Mixed-Culture 25
16.5,11.712,1.047,20.06,Mixed-Culture 25
17.0,11.676,1.047,20.056,Mixed-Culture 25
17.5,11.64,1.047,20.052,Mixed-Culture 25
18.0,11.604,1.047,20.048,Mixed-Culture 25
18.5,11.569,1.047,20.043,Mixed-Culture 25
19.0,11.533,1.046,20.039,Mixed-Culture 25
19.5,11.497,1.046,20.035,Mixed-Culture 25
20.0,11.461,1.046,20.031,Mixed-Culture 25
20.5,11.425,1.046,20.026,Mixed-Culture 25
21.0,11.389,1.046,20.022,Mixed-Culture 25
21.5,11.353,1.046,20.018,Mixed-Culture 25
22.0,11.317,1.045,20.014,Mixed-Culture 25
22.5,11.281,1.045,20.009,Mixed-Culture 25
23.0,11.245,1.045,20.005,Mixed-Culture 25
23.5,11.209,1.045,20.001,Mixed-Culture 25
24.0,11.141,1.045,20.006,Mixed-Culture 25
24.5,11.063,1.044,20.013,Mixed-Culture 25
25.0,10.986,1.044,20.02,Mixed-Culture 25
25.5,10.908,1.044,20.027,Mixed-Culture 25
26.0,10.83,1.043,20.035,Mixed-Culture 25
26.5,10.753,1.043,20.042,Mixed-Culture 25
