hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
0.0,11.8,1.048,19.3,5.51,2226.0,0.54,SHU IPA
0.5,11.8,1.048,16.907,5.537,2254.111,0.525,SHU IPA
1.0,11.8,1.048,15.3,5.54,2294.0,0.5,SHU IPA
1.5,11.8,1.048,14.9,5.59,2325.0,0.49,SHU IPA
2.0,11.8,1.048,14.9,5.59,2314.0,0.49,SHU IPA
2.5,11.9,1.048,15.052,5.54,2329.424,0.48,SHU IPA
3.0,11.9,1.048,15.1,5.55,2325.0,0.5,SHU IPA
3.5,11.9,1.048,15.1,5.57,2324.545,0.515,SHU IPA
4.0,11.9,1.048,15.2,5.56,2325.0,0.53,SHU IPA
4.5,11.848,1.048,15.2,5.556,2325.485,0.51,SHU IPA
5.0,11.8,1.048,15.2,5.55,2325.0,0.57,SHU IPA
5.5,11.8,1.048,15.3,5.541,2327.0,0.585,SHU IPA
6.0,11.8,1.048,15.3,5.55,2326.0,0.6,SHU IPA
6.5,11.8,1.048,15.3,5.54,2324.97,0.615,SHU IPA
7.0,11.8,1.048,15.4,5.55,2325.0,0.64,SHU IPA
7.5,11.8,1.048,15.4,5.53,2323.939,0.615,SHU IPA
8.0,11.8,1.048,15.4,5.52,2325.0,0.64,SHU IPA
8.5,11.8,1.048,15.4,5.525,2327.424,0.675,SHU IPA
9.0,11.8,1.048,15.5,5.52,2326.0,0.72,SHU IPA
9.5,11.8,1.048,15.5,5.48,2324.515,0.705,SHU IPA
10.0,11.8,1.048,15.5,5.47,2325.0,0.73,SHU IPA
10.5,11.8,1.048,15.5,5.489,2325.485,0.721,SHU IPA
11.0,11.8,1.048,15.5,5.48,2324.0,0.75,SHU IPA
11.5,11.8,1.048,15.6,5.465,2325.515,0.746,SHU IPA
12.0,11.8,1.048,15.6,5.45,2328.0,0.76,SHU IPA
12.5,11.8,1.048,15.6,5.465,2330.545,0.756,SHU IPA
13.0,11.8,1.048,15.6,5.43,2329.0,0.78,SHU IPA
13.5,11.8,1.048,15.6,5.451,2327.576,0.785,SHU IPA
14.0,11.8,1.048,15.7,5.42,2332.0,0.8,SHU IPA
14.5,11.8,1.048,15.7,5.445,2330.515,0.755,SHU IPA
15.0,11.8,1.048,15.7,5.43,2332.0,0.75,SHU IPA
15.5,11.8,1.048,15.7,5.41,2334.0,0.805,SHU IPA
16.0,11.8,1.048,15.7,5.41,2336.0,0.8,SHU IPA
16.5,11.8,1.048,15.752,5.405,2335.455,0.786,SHU IPA
17.0,11.8,1.048,15.8,5.38,2335.0,0.75,SHU IPA
17.5,11.8,1.048,15.8,5.41,2338.515,0.815,SHU IPA
18.0,11.8,1.048,15.8,5.4,2337.0,0.83,SHU IPA
18.5,11.8,1.048,15.8,5.369,2338.545,0.816,SHU IPA
19.0,11.8,1.048,15.9,5.35,2338.0,0.78,SHU IPA
19.5,11.8,1.048,15.9,5.38,2339.515,0.835,SHU IPA
20.0,11.8,1.048,15.9,5.32,2345.0,0.85,SHU IPA
20.5,11.8,1.048,15.9,5.325,2342.03,0.836,SHU IPA
21.0,11.8,1.048,15.9,5.35,2346.0,0.8,SHU IPA
21.5,11.8,1.048,16.0,5.315,2348.485,0.831,SHU IPA
22.0,11.8,1.048,16.0,5.33,2350.0,0.82,SHU IPA
22.5,11.8,1.048,16.0,5.311,2350.97,0.846,SHU IPA
23.0,11.8,1.048,16.0,5.31,2347.0,0.85,SHU IPA
23.5,11.8,1.048,16.0,5.294,2352.545,0.835,SHU IPA
24.0,11.8,1.048,16.0,5.28,2353.0,0.88,SHU IPA
24.5,11.8,1.048,16.1,5.26,2352.97,0.846,SHU IPA
25.0,11.8,1.048,16.1,5.28,2352.0,0.8,SHU IPA
25.5,11.8,1.048,16.1,5.27,2351.455,0.865,SHU IPA
26.0,11.8,1.048,16.1,5.24,2351.0,0.87,SHU IPA
26.5,11.8,1.048,16.152,5.265,2352.061,0.851,SHU IPA
27.0,11.8,1.048,16.2,5.22,2354.0,0.82,SHU IPA
27.5,11.8,1.048,16.2,5.25,2351.0,0.83,SHU IPA
28.0,11.8,1.048,16.2,5.25,2351.0,0.82,SHU IPA
28.5,11.8,1.048,16.2,5.214,2351.0,0.844,SHU IPA
29.0,11.8,1.048,16.2,5.21,2347.0,0.83,SHU IPA
29.5,11.8,1.048,16.2,5.205,2349.939,0.859,SHU IPA
30.0,11.8,1.048,16.2,5.21,2345.0,0.85,SHU IPA
