"Timestamp (BST)","Hours from Pitch","DO (mg/L)",pH,"Gravity (°P)","ABV Est. (%)","Pressure (Bar)","Fluid Temp (°C)","Ambient Temp (°C)","Conductivity (uS/cm)",Notes,"Data Source"
"04/28/2023 14:06:00",-1.90,3.31,5.45,11.9,1.11,0.07,37.4,,2367,,BrewIQ
"04/28/2023 14:09:00",-1.85,2.91,5.49,11.9,1.03,0.07,35.6,,2352,,BrewIQ
"04/28/2023 14:10:00",-1.83,2.77,5.51,11.9,0.96,0.07,34.4,,2308,,BrewIQ
"04/28/2023 14:13:00",-1.78,2.59,5.53,11.8,0.89,0.07,33.2,,2299,,BrewIQ
"04/28/2023 14:15:00",-1.75,2.49,5.54,11.8,0.85,0.07,32.1,,2295,,BrewIQ
"04/28/2023 14:17:00",-1.72,2.38,5.56,11.8,0.8,0.07,31.1,,2293,,BrewIQ
"04/28/2023 14:27:00",-1.55,2.17,5.61,,,0.07,27.0,,2277,,BrewIQ
"04/28/2023 14:37:00",-1.38,2.00,5.64,,,0.07,24.0,,2267,,BrewIQ
"04/28/2023 14:47:00",-1.22,1.83,5.66,11.7,0.41,0.07,21.8,,2259,,BrewIQ
"04/28/2023 15:24:00",-0.60,0.94,5.66,11.9,0.11,0.07,17.1,0.0,2279,,BrewIQ
"04/28/2023 15:28:00",-0.53,1.07,5.66,11.8,0.21,0.07,17.4,,2270,,BrewIQ
"04/28/2023 15:38:00",-0.37,1.25,5.69,,,0.07,16.7,,2262,,BrewIQ
"04/28/2023 15:48:00",-0.20,1.26,5.70,,,0.07,16.0,,2257,,BrewIQ
"04/28/2023 15:58:00",-0.03,1.23,5.71,11.8,0.19,0.07,15.5,,2254,,BrewIQ
"04/28/2023 16:07:00",0.12,1.22,5.72,11.8,0.18,0.07,15.1,,2257,,BrewIQ
"04/28/2023 16:17:00",0.28,1.23,5.72,,,0.07,14.9,,2260,,BrewIQ
"04/28/2023 16:27:00",0.45,1.24,5.71,,,0.07,14.8,,2265,,BrewIQ
"04/28/2023 16:37:00",0.62,1.21,5.72,11.9,0.12,0.07,14.7,,2264,,BrewIQ
"04/28/2023 16:47:00",0.78,1.20,5.71,,,0.07,14.6,,2265,,BrewIQ
"04/28/2023 16:57:00",0.95,1.20,5.72,,,0.07,14.6,,2266,,BrewIQ
"04/28/2023 17:07:00",1.12,1.19,5.72,11.9,0.12,0.07,14.5,,2267,,BrewIQ
"04/28/2023 17:17:00",1.28,1.18,5.72,,,0.07,14.4,,2263,,BrewIQ
"04/28/2023 17:27:00",1.45,1.16,5.72,,,0.07,14.4,,2262,,BrewIQ
"04/28/2023 17:37:00",1.62,1.18,5.72,11.9,0.12,0.07,14.3,,2262,,BrewIQ
"04/28/2023 17:47:00",1.78,1.16,5.72,,,0.07,14.3,,2259,,BrewIQ
"04/28/2023 17:57:00",1.95,1.13,5.72,,,0.07,14.3,,2260,,BrewIQ
"04/28/2023 18:07:00",2.12,1.12,5.72,11.9,0.12,0.07,14.3,,2258,,BrewIQ
"04/28/2023 18:17:00",2.28,1.11,5.72,,,0.07,14.3,,2257,,BrewIQ
"04/28/2023 18:27:00",2.45,1.12,5.72,,,0.07,14.2,,2259,,BrewIQ
"04/28/2023 18:37:00",2.62,1.12,5.72,11.9,0.12,0.07,14.1,,2261,,BrewIQ
"04/28/2023 18:47:00",2.78,1.11,5.72,,,0.07,14.1,,2259,,BrewIQ
"04/28/2023 18:57:00",2.95,1.08,5.72,,,0.07,14.1,,2261,,BrewIQ
"04/28/2023 19:07:00",3.12,1.07,5.72,11.9,0.12,0.07,14.1,,2259,,BrewIQ
"04/28/2023 19:17:00",3.28,1.06,5.72,,,0.07,14.1,,2257,,BrewIQ
"04/28/2023 19:27:00",3.45,1.03,5.72,,,0.07,14.1,,2256,,BrewIQ
"04/28/2023 19:37:00",3.62,1.02,5.72,11.9,0.12,0.07,14.0,,2258,,BrewIQ
"04/28/2023 19:47:00",3.78,1.02,5.72,,,0.07,13.9,,2259,,BrewIQ
"04/28/2023 19:57:00",3.95,1.02,5.72,,,0.07,13.9,,2260,,BrewIQ
"04/28/2023 20:07:00",4.12,1.02,5.72,11.9,0.11,0.07,13.8,,2261,,BrewIQ
"04/28/2023 20:17:00",4.28,1.02,5.72,,,0.07,13.8,,2258,,BrewIQ
"04/28/2023 20:27:00",4.45,1.00,5.72,,,0.07,13.8,,2259,,BrewIQ
"04/28/2023 20:37:00",4.62,1.03,5.72,11.9,0.11,0.07,13.8,,2255,,BrewIQ
"04/28/2023 20:47:00",4.78,0.99,5.72,,,0.07,13.7,,2260,,BrewIQ
"04/28/2023 20:57:00",4.95,0.99,5.72,,,0.07,13.7,,2258,,BrewIQ
"04/28/2023 21:07:00",5.12,1.02,5.72,11.9,0.1,0.07,13.6,,2260,,BrewIQ
"04/28/2023 21:17:00",5.28,1.01,5.72,,,0.07,13.6,,2261,,BrewIQ
"04/28/2023 21:20:00",5.33,1.02,5.72,11.9,0.11,0.07,13.6,,2256,,BrewIQ
"04/28/2023 21:30:00",5.50,1.03,5.72,,,0.07,13.6,,2255,,BrewIQ
"04/28/2023 21:40:00",5.67,1.00,5.72,,,0.07,13.6,,2258,,BrewIQ
"04/28/2023 21:50:00",5.83,1.02,5.72,11.9,0.11,0.07,13.5,,2260,,BrewIQ
"04/28/2023 22:00:00",6.00,1.02,5.72,,,0.07,13.5,,2259,,BrewIQ
"04/28/2023 22:10:00",6.17,1.01,5.72,,,0.07,13.5,,2257,,BrewIQ
"04/28/2023 22:20:00",6.33,1.00,5.72,11.9,0.11,0.07,13.4,,2259,,BrewIQ
"04/28/2023 22:30:00",6.50,0.99,5.72,,,0.07,13.4,,2258,,BrewIQ
"04/28/2023 22:40:00",6.67,0.93,5.72,,,0.07,13.4,,2259,,BrewIQ
"04/28/2023 22:50:00",6.83,0.96,5.72,11.9,0.1,0.07,13.3,,2260,,BrewIQ
"04/28/2023 23:00:00",7.00,0.96,5.72,,,0.07,13.3,,2262,,BrewIQ
"04/28/2023 23:10:00",7.17,0.96,5.72,,,0.07,13.3,,2259,,BrewIQ
"04/28/2023 23:20:00",7.33,0.96,5.72,11.9,0.1,0.07,13.3,,2255,,BrewIQ
"04/28/2023 23:30:00",7.50,0.93,5.71,,,0.07,13.2,,2261,,BrewIQ
"04/28/2023 23:40:00",7.67,0.90,5.71,,,0.07,13.2,,2260,,BrewIQ
"04/28/2023 23:50:00",7.83,0.90,5.71,11.9,0.1,0.07,13.2,,2259,,BrewIQ
"04/29/2023 00:00:00",8.00,0.86,5.71,,,0.07,13.1,,2261,,BrewIQ
"04/29/2023 00:10:00",8.17,0.86,5.71,,,0.07,13.1,,2263,,BrewIQ
"04/29/2023 00:20:00",8.33,0.86,5.71,11.9,0.1,0.07,13.1,,2261,,BrewIQ
"04/29/2023 00:30:00",8.50,0.85,5.71,,,0.07,13.1,,2259,,BrewIQ
"04/29/2023 00:40:00",8.67,0.85,5.71,,,0.07,13.1,,2258,,BrewIQ
"04/29/2023 00:50:00",8.83,0.84,5.71,11.9,0.1,0.07,13.1,,2258,,BrewIQ
"04/29/2023 01:00:00",9.00,0.83,5.71,,,0.07,13.1,,2258,,BrewIQ
"04/29/2023 01:10:00",9.17,0.78,5.71,,,0.07,13.1,,2258,,BrewIQ
"04/29/2023 01:20:00",9.33,0.76,5.70,11.9,0.08,0.07,13.0,,2260,,BrewIQ
"04/29/2023 01:30:00",9.50,0.76,5.70,,,0.07,12.9,,2264,,BrewIQ
"04/29/2023 01:40:00",9.67,0.75,5.70,,,0.07,12.9,,2259,,BrewIQ
"04/29/2023 01:50:00",9.83,0.74,5.70,11.9,0.1,0.07,12.9,,2260,,BrewIQ
"04/29/2023 02:00:00",10.00,0.71,5.70,,,0.07,12.9,,2259,,BrewIQ
"04/29/2023 02:10:00",10.17,0.70,5.70,,,0.07,12.8,,2262,,BrewIQ
"04/29/2023 02:20:00",10.33,0.69,5.70,11.9,0.1,0.07,12.8,,2261,,BrewIQ
"04/29/2023 02:30:00",10.50,0.65,5.70,,,0.07,12.8,,2260,,BrewIQ
"04/29/2023 02:40:00",10.67,0.65,5.69,,,0.07,12.8,,2262,,BrewIQ
"04/29/2023 02:50:00",10.83,0.62,5.69,11.9,0.08,0.07,12.7,,2264,,BrewIQ
"04/29/2023 03:00:00",11.00,0.62,5.69,,,0.07,12.7,,2261,,BrewIQ
"04/29/2023 03:10:00",11.17,0.61,5.69,,,0.07,12.6,,2264,,BrewIQ
"04/29/2023 03:20:00",11.33,0.61,5.69,11.9,0.08,0.07,12.7,,2259,,BrewIQ
"04/29/2023 03:30:00",11.50,0.59,5.69,,,0.07,12.6,,2261,,BrewIQ
"04/29/2023 03:40:00",11.67,0.58,5.69,,,0.07,12.6,,2261,,BrewIQ
"04/29/2023 03:50:00",11.83,0.57,5.69,11.9,0.1,0.07,12.6,,2260,,BrewIQ
"04/29/2023 04:00:00",12.00,0.56,5.69,,,0.07,12.6,,2260,,BrewIQ
"04/29/2023 04:10:00",12.17,0.55,5.68,,,0.07,12.6,,2263,,BrewIQ
"04/29/2023 04:20:00",12.33,0.52,5.68,11.9,0.08,0.07,12.5,,2265,,BrewIQ
"04/29/2023 04:30:00",12.50,0.51,5.68,,,0.07,12.5,,2263,,BrewIQ
"04/29/2023 04:40:00",12.67,0.51,5.68,,,0.07,12.5,,2262,,BrewIQ
"04/29/2023 04:50:00",12.83,0.50,5.68,11.9,0.08,0.07,12.5,,2260,,BrewIQ
"04/29/2023 05:00:00",13.00,0.50,5.68,,,0.07,12.5,,2260,,BrewIQ
"04/29/2023 05:10:00",13.17,0.49,5.68,,,0.07,12.5,,2260,,BrewIQ
