"Timestamp (BST)","Hours from Pitch","DO (mg/L)",pH,"Gravity (°P)","ABV Est. (%)","Pressure (Bar)","Fluid Temp (°C)","Ambient Temp (°C)","Conductivity (uS/cm)",Notes,"Data Source"
"05/12/2023 14:32:00",-0.97,3.70,5.59,11.5,0.54,0.08,24.0,,2625,,BrewIQ
"05/12/2023 14:35:00",-0.92,3.04,5.63,11.6,0.44,0.08,23.5,,2628,,BrewIQ
"05/12/2023 14:37:00",-0.88,2.78,5.66,11.6,0.38,0.08,23.1,,2630,,BrewIQ
"05/12/2023 14:39:00",-0.85,2.65,5.67,11.6,0.37,0.08,22.9,,2627,,BrewIQ
"05/12/2023 14:41:00",-0.82,2.49,5.69,11.6,0.36,0.08,22.6,,2623,,BrewIQ
"05/12/2023 14:43:00",-0.78,2.46,5.70,11.6,0.34,0.08,22.3,,2624,,BrewIQ
"05/12/2023 14:53:00",-0.62,2.25,5.73,,,0.08,20.9,,2618,,BrewIQ
"05/12/2023 15:03:00",-0.45,2.08,5.74,,,0.08,19.8,,2618,,BrewIQ
"05/12/2023 15:13:00",-0.28,1.93,5.75,11.6,0.25,0.08,18.9,,2619,,BrewIQ
"05/12/2023 15:23:00",-0.12,1.79,5.77,,,0.08,18.2,,2616,,BrewIQ
"05/12/2023 15:33:00",0.05,1.74,5.77,,,0.08,18.0,,2619,,BrewIQ
"05/12/2023 15:43:00",0.22,1.71,5.77,11.6,0.21,0.08,17.9,,2622,,BrewIQ
"05/12/2023 15:53:00",0.38,1.66,5.77,,,0.08,17.9,,2619,,BrewIQ
"05/12/2023 16:03:00",0.55,1.59,5.78,,,0.08,17.9,,2622,,BrewIQ
"05/12/2023 16:13:00",0.72,1.54,5.78,11.6,0.21,0.08,17.9,,2621,,BrewIQ
"05/12/2023 16:23:00",0.88,1.51,5.78,,,0.08,17.9,,2620,,BrewIQ
"05/12/2023 16:33:00",1.05,1.51,5.78,,,0.08,17.8,,2620,,BrewIQ
"05/12/2023 16:43:00",1.22,1.45,5.78,11.6,0.21,0.08,17.9,,2615,,BrewIQ
"05/12/2023 16:53:00",1.38,1.43,5.78,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 17:03:00",1.55,1.40,5.78,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 17:13:00",1.72,1.38,5.77,11.6,0.21,0.08,17.9,,2618,,BrewIQ
"05/12/2023 17:23:00",1.88,1.37,5.77,,,0.08,17.9,,2614,,BrewIQ
"05/12/2023 17:33:00",2.05,1.34,5.77,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 17:43:00",2.22,1.32,5.77,11.6,0.21,0.08,17.9,,2616,,BrewIQ
"05/12/2023 17:53:00",2.38,1.30,5.77,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 18:03:00",2.55,1.27,5.77,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 18:13:00",2.72,1.24,5.77,11.6,0.21,0.08,17.9,,2616,,BrewIQ
"05/12/2023 18:23:00",2.88,1.22,5.77,,,0.08,17.9,,2616,,BrewIQ
"05/12/2023 18:33:00",3.05,1.20,5.77,,,0.08,17.9,,2616,,BrewIQ
